,studium_id
0,12375406
1,8361406
2,7783306
3,7785906
4,9225306
5,9668306
6,9665506
7,7791006
8,6318006
9,13518506
10,9214506
11,10086506
12,11727206
13,9211006
14,7845306
15,13512006
16,7800806
17,8416706
18,12994106
19,9671406
20,7825506
21,9188106
22,13518606
23,15586306
24,9215306
25,12978506
26,14283706
27,12033706
28,9186306
29,11733706
30,12032006
31,11744806
32,9170606
33,11733106
34,12987106
35,7824706
36,13001306
37,13519306
38,11695406
39,9169406
40,9172006
41,9664306
42,11698306
43,9216606
44,11725406
45,11709806
46,11688606
47,14246906
48,14258006
49,12958906
50,11704806
51,14805706
52,13516406
53,12954406
54,11699506
55,11709106
56,9171906
57,16705906
58,16771406
59,12998206
60,15595106
61,15616506
62,12965106
63,14311706
64,14292206
65,15584906
66,15624506
67,15620706
68,14293306
69,15567806
70,14274606
71,14301906
72,16764806
73,13009006
74,14266706
75,14810406
76,14292006
77,15596006
78,16772806
79,15586206
80,16731806
81,16762606
82,18607906
83,17327806
84,16748906
85,15593306
86,16190406
87,16747206
88,17322306
89,17934706
90,16722206
91,16722006
92,18601706
93,17322206
94,12979706
95,4830706
