,studium_id
532,5501906
533,5503106
534,5503206
535,5504006
536,5504206
537,12994106
538,5504606
539,5505206
540,11742506
541,5506506
542,5506706
543,5507806
544,5508806
545,5511206
546,5512506
547,5512706
548,5512906
549,5513806
550,13518606
551,5697906
552,15586306
553,5709006
554,5724106
555,5757106
556,9215306
557,12978506
558,14283706
559,9197106
560,12033706
561,9205006
562,11733706
563,12032006
564,12997606
565,11735706
566,11744806
567,13009606
568,12987106
569,6297806
570,13001306
571,13519306
572,11680406
573,11695406
574,11698306
575,9208006
576,11712506
577,11725406
578,11688606
579,14246906
580,14258006
581,11704806
582,11697206
583,11681606
584,11691806
585,12954406
586,11710206
587,11699506
588,11721106
589,11709106
590,11677306
591,12990906
592,16705906
593,16771406
594,12985606
595,15595106
596,14799206
597,15616506
598,14292406
599,14311706
600,14292206
601,15584906
602,14293306
603,15567806
604,14274606
605,11722106
606,16764806
607,14810406
608,14292006
609,15586206
610,16731806
611,15612906
612,16191706
613,16762606
614,18607906
615,17327806
616,16748906
617,16190406
618,16711906
619,17322306
620,17934706
621,16722206
622,16728806
623,17333906
624,18601706
625,1596706
626,1595006
627,2815006
628,1575106
629,2930906
630,1581806
631,1576606
632,1570906
633,1569506
634,12979706
635,2822006
636,4780406
637,4791406
638,1600206
639,1595506
640,3728106
641,1599806
642,1569906
643,1569206
644,4277606
645,5511006
646,1578206
647,1604906
648,1580906
649,6284306
650,4770106
651,1755206
652,3759206
653,4770506
654,4220806
655,4761606
656,2854306
657,2933206
658,2853706
659,4220206
660,3772606
661,2933306
662,4830706
663,1755606
664,1600606
665,1755906
666,1755306
667,1587506
668,1756006
669,4224006
670,3081406
671,2821806
672,4220306
673,1755006
674,4220606
675,4224106
676,4262506
677,3727706
