"cislo_prihlasky";"odkud_uchazec_prihlasen_kod";"prihlaska_kod";"studium_id";"rozhodnuti_kod";"obor_ss_kod";"ss_izo";"ss_typ";"ss_predmet1";"ss_predmet2";"ss_predmet3";"ss_predmet4";"ss_predmet5";"ss_predmet1_znamky";"ss_predmet2_znamky";"ss_predmet3_znamky";"ss_predmet4_znamky";"ss_predmet5_znamky";"ss_predmet1_prumer";"ss_predmet2_prumer";"ss_predmet3_prumer";"ss_predmet4_prumer";"ss_predmet5_prumer";"ss_prumer_prumeru";"ss_prumer_znamek";"bakalar_prumer";"predchozi_studium";"doplnujici_udaj1";"doplnujici_udaj2";"doplnujici_udaj3";"doplnujici_udaj4";"typ_prihlasky";"maturita_znamky";"maturita_prumer";"maturita_predmety";"maturita_rok";"cislo_mistnosti_pz";"datum_pz";"prominuti_pz";"hodnoceni_pz";"hodnoceni_pz_cast1";"hodnoceni_pz_cast2";"hodnoceni_pz_cast3";"hodnoceni_pz_cast4";"hodnoceni_pz_cast5";"hodnoceni_pz_cast6";"hodnoceni_pz_cast7";"hodnoceni_pz_cast8";"hodnoceni_pz_cast9";"hodnoceni_pz_cast10";"hodnoceni_pz_cast11";"hodnoceni_pz_cast12";"zapsal_ke_studiu";"status";"stipendium";"stipendium_cizi";"kolej_zadost";"termin";"prechodne";"studijni_skupina";"nove_prijaty";"navazujici_stud_program";"trvaly_pobyt_v_cr";"financovani";"stupen_predchoziho_vzdelani";"pz1_datum";"pz1_cas";"pz1_mistnost";"pz2_datum";"pz2_cas";"pz2_mistnost";"pz3_datum";"pz3_cas";"pz3_mistnost";"pisemny_test";"anketa_odkud_kod";"anketa_odkud_poznamka";"cislo_uchazece";"scio_test";"olympiady";"postizeni_kod";"postizeni_poznamka";"placeno_r";"placeno_poznamka";"placeno_mail";"staz_stat";"staz_poznamka";"maturita_uroven";"zajem";"zprava_pro_uchazece";"priorita";"datum_registrace";"datum_rozhodnuti";"misto_kod";"okres_kod";"zeme_kod";"psc"
"6";"";"1738414110";"3793406";"10";"";"002049082";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, Elektrotechnické počítače, MSP";"";"";"";"";"PD";"";"";"";"1981";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"";"3100";"3100";"14800"
"6";"";"1738414110";"3793406";"10";"";"002049082";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, Elektrotechnické počítače, MSP";"";"";"";"";"PD";"";"";"";"1981";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"3";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"";"3100";"3100";"14800"
"7";"";"8450652810";"3797006";"10";"";"063109026";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, EAI, MSP";"";"";"";"";"PD";"";"";"";"2005";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"0";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Praha";"3100";"3100";"14700"
"7";"";"8450652810";"3797006";"10";"";"063109026";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, EAI, MSP";"";"";"";"";"PD";"";"";"";"2005";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Praha";"3100";"3100";"14700"
"8";"";"1058307810";"3801106";"10";"";"108019578";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, EAI, MSP";"";"";"";"";"PD";"";"";"";"2005";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Krupka";"3509";"3509";"41742"
"8";"";"1058307810";"3801106";"10";"";"108019578";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, EAI, MSP";"";"";"";"";"PD";"";"";"";"2005";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"1";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Krupka";"3509";"3509";"41742"
"9";"";"2583532410";"3801206";"10";"";"000638331";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, EAI, MSP";"";"";"";"";"PD";"";"";"";"2004";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"3";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Praha";"3100";"3100";"19800"
"9";"";"2583532410";"3801206";"10";"";"000638331";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, EAI, MSP";"";"";"";"";"PD";"";"";"";"2004";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Praha";"3100";"3100";"19800"
"10";"";"2344676110";"3801306";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, EAI, MSP";"";"";"";"";"PD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"0";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Hradec Králové";"3602";"3602";"50011"
"10";"";"2344676110";"3801306";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FEL, EAI, MSP";"";"";"";"";"PD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Hradec Králové";"3602";"3602";"50011"
"11";"";"9798420510";"3801406";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"UK v Praze MFF";"";"";"";"";"PD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"0";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Praha 3 - Žižkov";"3100";"3100";"13000"
"11";"";"9798420510";"3801406";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"UK v Praze MFF";"";"";"";"";"PD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2010-09-01";"";"Praha 3 - Žižkov";"3100";"3100";"13000"
