"statni_zkouska_id";"cislo_terminu";"predmet_cislo";"datum";"hodnoceni"
"244063669505";"1";"1";"";""
"244063720505";"1";"1";"";""
"246871338705";"1";"1";"";""
"246873049205";"1";"1";"";""
"246873920305";"1";"1";"";""
"246874296005";"1";"1";"";""
"246874628105";"1";"1";"";""
"246874719505";"1";"1";"";""
"246874802305";"1";"1";"";""
"246875699505";"1";"1";"";""
"246881448805";"1";"1";"";""
"246881451505";"1";"1";"";""
"246881454705";"1";"1";"";""
"246881458505";"1";"1";"";""
"246881461505";"1";"1";"";""
"246881463805";"1";"1";"";""
"246881469505";"1";"1";"";""
"246881476605";"1";"1";"";""
"246881481905";"1";"1";"";""
"246881491305";"1";"1";"";""
"246881493305";"1";"1";"";""
"250421827305";"1";"1";"";""
"250421831005";"1";"1";"";""
"250421843305";"1";"1";"";""
"250421843405";"1";"1";"";""
"250421844005";"1";"1";"";""
"250421844505";"1";"1";"";""
"250421844605";"1";"1";"";""
"250421844705";"1";"1";"";""
"250421845605";"1";"1";"";""
"250421845805";"1";"1";"";""
"250421846005";"1";"1";"";""
"250421846805";"1";"1";"";""
"250421846905";"1";"1";"";""
"250422004705";"1";"1";"";""
"250422005105";"1";"1";"";""
"250422005205";"1";"1";"";""
"250422005305";"1";"1";"";""
"250422005705";"1";"1";"";""
"250422005805";"1";"1";"";""
"250422006805";"1";"1";"";""
"250422007005";"1";"1";"";""
"255354537105";"1";"1";"";""
"277007492405";"1";"1";"";""
"277007492905";"1";"1";"";""
"277007493405";"1";"1";"";""
"277007493905";"1";"1";"";""
"277007499605";"1";"1";"";""
"277007501305";"1";"1";"";""
"280426037305";"1";"1";"";""
"282635486105";"1";"1";"";""
"307763643005";"1";"1";"";"1.5"
"307763804805";"1";"1";"2012-06-08";"1"
"307763805705";"1";"1";"";""
"322730046105";"1";"1";"2012-06-07";"2"
"323003956005";"1";"1";"2012-06-07";"2"
"324349514805";"1";"1";"2012-06-07";"2"
"324885815005";"1";"1";"2012-06-22";"1"
"324886319805";"1";"1";"2012-06-25";"2"
"324887387905";"1";"1";"";""
"324887985405";"1";"1";"";""
"325154449705";"1";"1";"";""
"325154450205";"1";"1";"";""
"325154450705";"1";"1";"";""
"325154451805";"1";"1";"";""
"325154452305";"1";"1";"";""
"325154452805";"1";"1";"";""
"325154453305";"1";"1";"";""
"325154453805";"1";"1";"";""
"325154454305";"1";"1";"";""
"326238640805";"1";"1";"2012-06-08";"2"
"327045662205";"1";"1";"2012-06-21";"2"
"327580551405";"1";"1";"2012-06-06";"1.5"
"327831991905";"1";"1";"2012-06-21";"2"
"328083891105";"1";"1";"";""
"328328998805";"1";"1";"2012-06-22";"2"
"328331264705";"1";"1";"2012-08-30";"3"
"328332088405";"1";"1";"2012-06-21";"2"
"328577768005";"1";"1";"";""
"328577791905";"1";"1";"";""
"328577905905";"1";"1";"";""
"328584048805";"1";"1";"2012-06-08";"2"
"328822320305";"1";"1";"";""
"328824458605";"1";"1";"2012-06-22";"1"
"328824471005";"1";"1";"";"1.5"
"329069424305";"1";"1";"2012-06-06";"2"
"329314337905";"1";"1";"2012-06-22";"2"
"329314362805";"1";"1";"2012-06-21";"2"
"329802589105";"1";"1";"2012-06-22";"3"
"330046413805";"1";"1";"2012-06-21";"2"
"330046418405";"1";"1";"2012-06-22";"1"
"330046452405";"1";"1";"2012-06-06";"2"
"330048724605";"1";"1";"2012-06-22";"2.5"
"330048816705";"1";"1";"2012-06-22";"2"
"330536422905";"1";"1";"2012-06-06";"2.5"
"330537404605";"1";"1";"";"2.5"
"330537454405";"1";"1";"2012-06-06";"1.5"
"330537737105";"1";"1";"";"2"
"330537741105";"1";"1";"";"2"
"330537741405";"1";"1";"2012-06-08";"2.5"
"330537741705";"1";"1";"";"2"
"330785914605";"1";"1";"2012-06-22";"1"
"331518640205";"1";"1";"2012-06-07";"1.5"
"331762485205";"1";"1";"2012-06-08";"1"
"331763893805";"1";"1";"2012-06-22";"2.5"
"332009328705";"1";"1";"";"2.5"
"332254295505";"1";"1";"2012-06-21";"2"
"332254935305";"1";"1";"2012-08-30";"3"
"332497938205";"1";"1";"2012-06-21";"2"
"332497938305";"1";"1";"2012-06-21";"3"
"332742075705";"1";"1";"2012-06-21";"1"
"333460400005";"1";"1";"2012-08-30";"3"
"333460541705";"1";"1";"2012-06-25";"1.5"
"333460985405";"1";"1";"2012-06-07";"1"
"333461598605";"1";"1";"2012-06-25";"3"
"333461633705";"1";"1";"2012-06-22";"2"
"333463189605";"1";"1";"2012-06-25";"2.5"
"333946099505";"1";"1";"2012-06-06";"1.5"
"334187804305";"1";"1";"2012-06-08";"1.5"
"334192965605";"1";"1";"";"2.5"
"334194155805";"1";"1";"";"2"
"334655837405";"1";"1";"2012-06-21";"1.5"
"334871453005";"1";"1";"2012-06-06";"1.5"
"334872322005";"1";"1";"";"2.5"
"335094515905";"1";"1";"2012-06-25";"1.5"
"335094535505";"1";"1";"2012-06-07";"1"
"335094940805";"1";"1";"2012-06-06";"1"
"335317496005";"1";"1";"2012-06-25";"2"
"335317713605";"1";"1";"2012-08-30";"1.5"
"335540343305";"1";"1";"2012-06-22";"2"
"335540448505";"1";"1";"";""
"335540941205";"1";"1";"2012-06-21";"3"
"335988957405";"1";"1";"2012-06-25";"2"
"336658219705";"1";"1";"";""
"336658220605";"1";"1";"";"3"
"336658255105";"1";"1";"";"2"
"336658540105";"1";"1";"2012-06-25";"1.5"
"336658568205";"1";"1";"";"1.5"
"336658697105";"1";"1";"2012-06-21";"2"
"336882769205";"1";"1";"";"1.5"
"336886432005";"1";"1";"2012-06-06";"3"
"337105845505";"1";"1";"2012-06-06";"2"
"337105928805";"1";"1";"";""
"337106039705";"1";"1";"2012-06-06";"2"
"337106091005";"1";"1";"";"2"
"337110509305";"1";"1";"";"4"
"337812552805";"1";"1";"2012-06-25";"2"
"338002513105";"1";"1";"2012-06-07";"1"
"338002516805";"1";"1";"";"1.5"
"338227093105";"1";"1";"";""
"338227497905";"1";"1";"2012-06-07";"1.5"
"338227704505";"1";"1";"2012-06-07";"1"
"338228004105";"1";"1";"2012-06-06";"1"
"338452536805";"1";"1";"";"1"
"338916538505";"1";"1";"2012-06-08";"2"
"339152628005";"1";"1";"";""
"339626312805";"1";"1";"2012-06-06";"2"
"339626350505";"1";"1";"2012-06-08";"2"
"339629814705";"1";"1";"2012-06-25";"2"
"339870171905";"1";"1";"2012-08-30";"2"
"340107135405";"1";"1";"2012-06-21";"2.5"
"340108229705";"1";"1";"";"3"
"340583373605";"1";"1";"2012-06-25";"1.5"
"340818786905";"1";"1";"2012-06-21";"3"
"341059743105";"1";"1";"2012-08-30";"2.5"
"342018468605";"1";"1";"";"1"
"342018501905";"1";"1";"2012-06-22";"1.5"
"342962678305";"1";"1";"";"2"
"342963135605";"1";"1";"2012-08-30";"2"
"342963176505";"1";"1";"";""
"342963509705";"1";"1";"2012-06-06";"2"
"342964329305";"1";"1";"2012-06-25";"2"
"343202357905";"1";"1";"";"1.5"
"343438790905";"1";"1";"2012-06-25";"3"
"343438810905";"1";"1";"2012-06-25";"2.5"
"343439240205";"1";"1";"2012-06-07";"1.5"
"343439353305";"1";"1";"";"1.5"
"343677546705";"1";"1";"2012-06-22";"3"
"343678362605";"1";"1";"2012-06-07";"2"
"343678390405";"1";"1";"";"2"
"343678561105";"1";"1";"";"2"
"344859537205";"1";"1";"2012-06-06";"2"
"344859570405";"1";"1";"";"1.5"
"344859661305";"1";"1";"2012-06-25";"2"
"345096472805";"1";"1";"";"4"
"345096504205";"1";"1";"2012-06-08";"2"
"345096511405";"1";"1";"2012-06-25";"2.5"
"345096547105";"1";"1";"2012-06-21";"1.5"
"345096576705";"1";"1";"2012-06-21";"2"
"345096585705";"1";"1";"";"2.5"
"345096601405";"1";"1";"2012-06-21";"2"
"345096767805";"1";"1";"2012-06-08";"2"
"345096848705";"1";"1";"2012-06-22";"1.5"
"345096992205";"1";"1";"2012-06-22";"1"
"345096998405";"1";"1";"2012-06-25";"1.5"
"345097000005";"1";"1";"2012-06-22";"3"
"345097003405";"1";"1";"2012-06-22";"2.5"
"345097010305";"1";"1";"2012-06-21";"2.5"
"345097011105";"1";"1";"2012-06-21";"2"
"345097060405";"1";"1";"";"1"
"345101600105";"1";"1";"";"2"
"345333418005";"1";"1";"2012-06-21";"2.5"
"345333588005";"1";"1";"";"1.5"
"345333597805";"1";"1";"2012-06-25";"1.5"
"345571255605";"1";"1";"";"2"
"345571700205";"1";"1";"";""
"345807916805";"1";"1";"2012-06-06";"1.5"
"346044111305";"1";"1";"2012-06-21";"2"
"346044113305";"1";"1";"2012-06-21";"1.5"
"346280498905";"1";"1";"2012-06-21";"2"
"346280501605";"1";"1";"2012-06-21";"2"
"346280574205";"1";"1";"2012-06-21";"1"
"346280846105";"1";"1";"2012-06-21";"1"
"346281218605";"1";"1";"2012-06-08";"1.5"
"346281299605";"1";"1";"2012-06-08";"3"
"346281314805";"1";"1";"2012-06-06";"1.5"
"346519042405";"1";"1";"2012-06-06";"1.5"
"346519084005";"1";"1";"";"1.5"
"346519331905";"1";"1";"2012-06-21";"1.5"
"346519723505";"1";"1";"2012-06-22";"2"
"346519802205";"1";"1";"2012-06-25";"3"
"346519839005";"1";"1";"2012-06-25";"1.5"
"346519846505";"1";"1";"2012-06-25";"1.5"
"346519898205";"1";"1";"2012-06-08";"1"
"346519968105";"1";"1";"2012-06-08";"2.5"
"346520099005";"1";"1";"";"3"
"346520127605";"1";"1";"";"1.5"
"346757543605";"1";"1";"2012-06-25";"1"
"346757551805";"1";"1";"2012-06-25";"1.5"
"346757558705";"1";"1";"2012-06-25";"1.5"
"346757873205";"1";"1";"2012-06-08";"2"
"346758328005";"1";"1";"";"2.5"
"346758495805";"1";"1";"";"4"
"346758859505";"1";"1";"2012-06-21";"2"
"346758906505";"1";"1";"";"1.5"
"346764832905";"1";"1";"";"2"
"346996294405";"1";"1";"2012-06-22";"1.5"
"346996577505";"1";"1";"2012-06-22";"3"
"346997147605";"1";"1";"2012-06-22";"1.5"
"346997420905";"1";"1";"2012-06-22";"2.5"
"346997580805";"1";"1";"";""
"347235206505";"1";"1";"2012-06-08";"1.5"
"347235497405";"1";"1";"";"2"
"347236047005";"1";"1";"2012-08-30";"1.5"
"347236634005";"1";"1";"2012-06-21";"2"
"347241495805";"1";"1";"2012-06-21";"3"
"347244910905";"1";"1";"2012-06-22";"2.5"
"347246914105";"1";"1";"2012-06-08";"2.5"
"347473678705";"1";"1";"";"1.5"
"347949021505";"1";"1";"";"1.5"
"347949054205";"1";"1";"";"2"
"347949074805";"1";"1";"2012-08-30";"1.5"
"347949115505";"1";"1";"";"2.5"
"347949179805";"1";"1";"";"1"
"347949204605";"1";"1";"";"2"
"347949255505";"1";"1";"2012-06-08";"1"
"347949316005";"1";"1";"2012-06-22";"1"
"347949469305";"1";"1";"2012-06-06";"1"
"347949537205";"1";"1";"2012-06-07";"1.5"
"347949808005";"1";"1";"";""
"347950001205";"1";"1";"2012-06-08";"1"
"347950022805";"1";"1";"2012-06-06";"2.5"
"347950072105";"1";"1";"2012-06-08";"3"
"347950111705";"1";"1";"2012-06-08";"1.5"
"347950281805";"1";"1";"";""
"347950531605";"1";"1";"";""
"347950972405";"1";"1";"2012-06-07";"1"
"347951244205";"1";"1";"2012-06-07";"2"
"347951449505";"1";"1";"";"2.5"
"347951467205";"1";"1";"";""
"347951471605";"1";"1";"2012-06-21";"3"
"347951610405";"1";"1";"2012-06-25";"1"
"347958973805";"1";"1";"2012-06-06";"2"
"348190770805";"1";"1";"2012-08-30";"2.5"
"348191080405";"1";"1";"";"2"
"348191163205";"1";"1";"2012-06-06";"2"
"348430202105";"1";"1";"2012-06-07";"1.5"
"348430892905";"1";"1";"";"1"
"348431092605";"1";"1";"2012-06-07";"2.5"
"348431116905";"1";"1";"";""
"348431244305";"1";"1";"2012-06-07";"1.5"
"348432584805";"1";"1";"";"2.5"
"348432645205";"1";"1";"";""
"348671434705";"1";"1";"";"3"
"348671489105";"1";"1";"2012-06-25";"3"
"348671565805";"1";"1";"2012-06-06";"2.5"
"348671835005";"1";"1";"";"1.5"
"348671850205";"1";"1";"2012-08-30";"1.5"
"348671961605";"1";"1";"2012-06-06";"2"
"348672007105";"1";"1";"";""
