"cislo_prihlasky";"odkud_uchazec_prihlasen_kod";"prihlaska_kod";"studium_id";"rozhodnuti_kod";"obor_ss_kod";"ss_izo";"ss_typ";"ss_predmet1";"ss_predmet2";"ss_predmet3";"ss_predmet4";"ss_predmet5";"ss_predmet1_znamky";"ss_predmet2_znamky";"ss_predmet3_znamky";"ss_predmet4_znamky";"ss_predmet5_znamky";"ss_predmet1_prumer";"ss_predmet2_prumer";"ss_predmet3_prumer";"ss_predmet4_prumer";"ss_predmet5_prumer";"ss_prumer_prumeru";"ss_prumer_znamek";"bakalar_prumer";"predchozi_studium";"doplnujici_udaj1";"doplnujici_udaj2";"doplnujici_udaj3";"doplnujici_udaj4";"typ_prihlasky";"maturita_znamky";"maturita_prumer";"maturita_predmety";"maturita_rok";"cislo_mistnosti_pz";"datum_pz";"prominuti_pz";"hodnoceni_pz";"hodnoceni_pz_cast1";"hodnoceni_pz_cast2";"hodnoceni_pz_cast3";"hodnoceni_pz_cast4";"hodnoceni_pz_cast5";"hodnoceni_pz_cast6";"hodnoceni_pz_cast7";"hodnoceni_pz_cast8";"hodnoceni_pz_cast9";"hodnoceni_pz_cast10";"hodnoceni_pz_cast11";"hodnoceni_pz_cast12";"zapsal_ke_studiu";"status";"stipendium";"stipendium_cizi";"kolej_zadost";"termin";"prechodne";"studijni_skupina";"nove_prijaty";"navazujici_stud_program";"trvaly_pobyt_v_cr";"financovani";"stupen_predchoziho_vzdelani";"pz1_datum";"pz1_cas";"pz1_mistnost";"pz2_datum";"pz2_cas";"pz2_mistnost";"pz3_datum";"pz3_cas";"pz3_mistnost";"pisemny_test";"anketa_odkud_kod";"anketa_odkud_poznamka";"cislo_uchazece";"scio_test";"olympiady";"postizeni_kod";"postizeni_poznamka";"placeno_r";"placeno_poznamka";"placeno_mail";"staz_stat";"staz_poznamka";"maturita_uroven";"zajem";"zprava_pro_uchazece";"priorita";"datum_registrace";"datum_rozhodnuti";"misto_kod";"okres_kod";"zeme_kod";"psc"
"1972";"";"7905024912";"16487206";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"N";"51";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2725811";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-20";"2019-05-20";"";"";"";""
"1973";"";"6386639312";"16487306";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"N";"51";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2725822";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-20";"2019-05-20";"";"";"";""
"1974";"";"5220834612";"16487406";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"N";"51";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2725833";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-20";"2019-05-20";"";"";"";""
"1975";"";"2835967612";"16487506";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"N";"51";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2725844";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-20";"2019-05-20";"";"";"";""
"1976";"";"6427429712";"16487606";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"N";"51";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2725855";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-20";"2019-05-20";"";"";"";""
"1977";"";"8413440612";"16487706";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"N";"51";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2725866";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-20";"2019-05-20";"";"";"";""
"1978";"";"4392121312";"16487806";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"N";"51";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2725877";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-20";"2019-05-20";"";"";"";""
"1979";"";"8765882312";"16677906";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2735722";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-07-01";"2019-07-01";"Krivoj Rog";"";"";"50000"
"1980";"";"6496788512";"16787606";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2017";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2736052";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-07-02";"2019-07-02";"734013 Dushanbe";"";"";""
"1981";"";"7601985112";"16793106";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2017";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"N";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2737031";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-07-09";"2019-07-09";"Dnipropetrovsk";"";"";""
