"predmet_id";"kod_predmetu";"nazev_predmetu";"pocet_kreditu";"typ_predmetu";"forma_studia";"uroven_studia";"zpusob_zakonceni";"jazyk_vyuky"
"3468306";"BIE-ZDM.1";"Elements of Discrete Mathematics";"5";"";"";"";"Z,ZK";""
"3461406";"BI-PS1.1";"Programování v shellu 1";"5";"";"";"";"KZ";""
"1749106";"X000621";"Technology Strategy";"";"";"";"";"ZK";""
"2107006";"X000802";"Formal Methods";"";"";"";"";"ZK";""
"2106806";"X000801";"Adv Unix System Admin";"";"";"";"";"ZK";""
"6217706";"NI-VPR";"Výzkumný projekt";"5";"V;";"P";"M";"Z";""
"1510606";"BIE-BAP";"Bachelor Thesis";"14";"P";"P";"B";"Z";"EN"
"1495306";"MI-DIP";"Magisterská práce";"23";"P";"P";"M";"Z";"OO"
"1499406";"MI-MPR";"Magisterský projekt";"7";"P";"P";"M";"Z";""
"5529206";"NI-DIP";"Magisterská práce";"30";"P";"P";"M";"Z";""
"1142806";"BI-BAP";"Bakalářská práce";"14";"P";"";"B";"Z";"CS"
"6256106";"NIE-VPR";"Research Project";"5";"V;";"P";"M";"Z";"EN"
"6547906";"BI-BPR.21";"Bakalářský projekt";"1";"P;";"P";"B;";"Z";"CS"
"6691806";"BI-BAP.21";"Bakalářská práce";"14";"P";"";"B";"Z";"CS"
"6624006";"NIE-MPR";"Master Project";"7";"P";"P";"M";"Z";"EN"
"1495406";"MIE-DIP";"Diploma Project";"23";"P";"P";"M";"Z";"EN"
"6098206";"NI-MPR";"Magisterský projekt";"7";"P";"P";"M";"Z";""
"3469606";"BIK-BPR";"Bakalářský projekt";"2";"P;";"K";"B;";"Z";"CS"
"3465006";"BIE-BPR";"Bachelor Project";"2";"P;";"P";"B;";"Z";"EN"
"6623706";"NIE-DIP";"Diploma Project";"30";"P";"P";"M;";"Z";"EN"
"4887406";"MIE-MPR";"Master Project";"7";"P";"P";"M";"Z";"EN"
"6547806";"BIK-BPR.21";"Bakalářský projekt";"1";"P;";"K";"B;";"Z";"CS"
"6548006";"BIE-BPR.21";"Bachelor Project";"1";"P;";"P";"B;";"Z";"EN"
"6698706";"BIE-BAP.21";"Bachelor Thesis";"14";"P";"";"B";"Z";"EN"
"3458906";"BI-BPR";"Bakalářský projekt";"2";"P;";"P";"B;";"Z";"CS"
"1124006";"BI-WMM";"Web a multimedia";"5";"PO";"P";"B";"Z,ZK";"CS"
"1510306";"BIE-LTK2";"Summer Physical Training Course II";"0";"V";"P";"B";"Z";"EN"
"1431806";"MI-RIC";"Řízení podnikové informatiky";"8";"PO;PZ;";"P";"M";"Z,ZK";"CS"
"4877706";"PI-SWI";"Softwarové inženýrství";"4";"O;";"";"D;";"ZK";""
"1510506";"BIE-ZTK2";"Winter Physical Training Course II";"0";"V";"P";"B";"Z";"EN"
"2390806";"PI-TMN";"Text Mining";"4";"V;";"";"D;";"ZK";""
"5073406";"MIE-SWT";"Software Testing";"5";"V;";"P";"M;";"Z,ZK";"EN"
"1510006";"BIE-TV3";"Physical Education III";"0";"V";"P";"B";"Z";"CS"
"1510106";"BIE-TV4";"Physical Education IV";"0";"V";"P";"B";"Z";"CS"
"1510206";"BIE-LTK";"Summer Physical Training Course";"0";"P";"P";"B";"Z";"EN"
"1510406";"BIE-ZTK";"Winter Physical Training Course";"0";"P";"P";"B";"Z";"EN"
"6069606";"MI-MOP.20";"Moderní Objektové programování ve Pharo";"4";"V;";"P";"B;M;";"KZ";"CS"
"6069706";"MI-PG1.20";"Počítačová grafika 1";"4";"V;";"P";"M;";"ZK";"CS"
"6164106";"NI-ZS10";"Zahraniční stáž pro magisterské studium za 10 kreditů";"10";"V;";"P";"M;";"Z";""
"6163706";"NI-ZS20";"Zahraniční stáž pro magisterské studium za 20 kreditů";"20";"V;";"P";"M;";"Z";""
"2216806";"BIK-SQL";"Jazyk SQL";"4";"V";"K";"B";"Z,ZK";"CS"
"1477606";"BI-PHP";"Programování v PHP";"4";"V";"P";"B";"KZ";"CS"
"1123406";"BI-SI1";"Softwarové inženýrství I";"5";"PO";"P";"B";"ZK";"CS"
"6291506";"BIK-EJA";"Enterprise java";"4";"V";"K";"B";"KZ";"CS"
"1125506";"BI-SI2";"Softwarové inženýrství 2";"5";"PO";"P";"B";"Z,ZK";"CS"
"1443106";"BIK-SI1";"Softwarové inženýrství I";"5";"PO";"K";"B";"ZK";"CS"
"1446406";"BIE-SI1";"Software Engineering I";"5";"PO";"P";"B";"ZK";"EN"
"2765006";"BI-3DT";"3D Tisk";"3";"V;";"P";"B;";"KZ";"CS"
"1123706";"BI-TWA";"Tvorba webových aplikací";"5";"PO";"P";"B";"Z,ZK";"CS"
"6387606";"BIE-ZS20";"Bachelor internship abroad for 20 credits";"20";"V;";"P";"B;";"Z";"EN"
"6387706";"BIE-ZS30";"Bachelor internship abroad for 30 credits";"30";"V;";"P";"B;";"Z";"EN"
"6387806";"MIE-ZS10";"Master internship abroad for 10 credits";"10";"V;";"P";"M;";"Z";"EN"
"6387906";"MIE-ZS20";"Master internship abroad for 20 credits";"20";"V;";"P";"M;";"Z";"EN"
"1694606";"MI-SAS";"IT v době SaaS";"4";"V";"P";"M";"Z,ZK";"CS"
"1284706";"BI-BPZS";"Základní školení BOZP";"0";"P";"P";"B";"Z";"CS"
"1440006";"MIE-MEP";"Modelling of Business Processes";"4";"PO";"P";"M";"Z,ZK";"EN"
"1439406";"MIE-FME";"Formal Methods and Specifications";"4";"PO";"P";"M";"Z,ZK";"EN"
"3091306";"BI-MII";"Marketing a inovace v IT";"5";"PV;";"P";"B;";"Z,ZK";"CS"
"3181506";"BIE-FTR";"Financial Markets";"4";"V;";"P";"B;";"Z,ZK";""
"3317206";"MI-NSS";"Normalized Software Systems";"3";"V;";"P";"M;";"ZK";"EN"
"2961006";"BI-ATS";"Automatizované testování software";"4";"V;";"P";"B;";"Z,ZK";"CS"
"2320906";"BIK-PWT";"Podnikové webové technologie";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"1122606";"BI-EKP";"Ekonomika podniku";"5";"PO";"P";"B";"Z,ZK";"CS"
"2424806";"MI-LIF";"Podnikové portály";"4";"V;";"P";"M;";"Z,ZK";"CS"
"1441206";"BIK-EKP";"Ekonomika podniku";"5";"PO";"K";"B";"Z,ZK";"CS"
"1431706";"MI-PRM";"Projektové manažerství";"3";"P";"P";"M";"Z";"CS"
"1879006";"BIK-RUB";"Programování v Ruby";"4";"V";"K";"B";"KZ";"CS"
"2811906";"FIE-HTE";"History of Technology and Economics";"2";"PV;";"P";"B;M;";"ZK";"EN"
"2506806";"PI-AWR";"Academic Writing";"4";"";"P";"D;";"ZK";""
"3091406";"PI-DIG";"Digitální zdroje a podpora byznysu";"4";"V;";"P";"D;";"ZK";""
"1731506";"PI-ISW";"Implementace sémantického webu";"4";"V";"";"D";"ZK";"CS"
"1617206";"PIK-FME";"Seminář z formálních specifikací";"4";"PO";"K";"D";"Z,ZK";""
"1601306";"PI-FME";"Seminář z formálních specifikací";"4";"";"";"D";"Z,ZK";""
"2015006";"PI-PDM";"Pokročilé databázové modely";"4";"D";"";"D";"ZK";"CS"
"2088806";"PIK-PDM";"Pokročilé databázové modely";"4";"D";"K";"D";"ZK";"CS"
"5431406";"BI-AWD.1";"Administrace webového a DB serveru";"4";"PO";"P";"B";"Z,ZK";"CS"
"1449706";"BIE-TWA";"Web Application Design";"5";"PO";"P";"B";"Z,ZK";"EN"
"1509806";"BIE-TV1";"Physical Education I";"0";"P";"P";"B";"Z";"CS"
"1509906";"BIE-TV2";"Physical Education II";"0";"P";"P";"B";"Z";"CS"
"1622606";"FIT-BOZP";"Základní školení BOZP";"0";"P";"";"0";"Z";"CS"
"1124906";"BI-EPD";"Ekonomika podnikání";"4";"P";"P";"B";"KZ";"CS"
"1432806";"MI-KDD";"Dobývání znalostí z databází";"4";"PO";"P";"M";"Z,ZK";"CS"
"1438706";"MIE-CIO";"IT Support to Business and CIO Role";"3";"P";"P";"M";"ZK";"EN"
"1438006";"MIE-KDD";"Knowledge Discovery from Databases";"4";"PO";"P";"M";"Z,ZK";"EN"
"1443206";"BIK-SI2";"Softwarové inženýrství 2";"5";"PO";"K";"B";"Z,ZK";"CS"
"1439206";"MIE-DPO";"Design Patterns and OOP";"4";"PO";"P";"M";"Z,ZK";"EN"
"1449506";"BIE-EPD";"Business Economics";"4";"P";"P";"B";"KZ";"EN"
"1449606";"BIE-FIP";"Accounting and Corporate Finance";"5";"PO";"P";"B";"Z,ZK";"EN"
"1449306";"BIE-WMM";"Web and Multimedia";"5";"PO";"P";"B";"Z,ZK";"EN"
"1433506";"MI-CIO";"Podpora IT byznysu a role CIO";"3";"PO;";"P";"M";"ZK";"CS"
"2062806";"FIT-EIH";"Evropska integrace v historickych souvislostech";"2";"V;";"P";"0;";"KZ";"CS"
"2058206";"FIT-FI2";"Filozofie II";"2";"V;";"P";"0;";"ZK";"CS"
"2118906";"FI-ANF";"Analytická filosofie";"2";"V;";"";"0;";"ZK";"CS"
"3463206";"BI-VWM.1";"Vyhledávání na webu a v multimed. DB";"5";"";"";"";"Z,ZK";""
"2058106";"FIT-FI1";"Filozofie I";"2";"V;";"P";"0;";"ZK";"CS"
"2120806";"PI-IRT";"Information retrieval";"4";"V;";"";"D;";"ZK";""
"2950806";"PI-AWR.1";"Academic Writing";"0";"";"";"D;";"ZK";""
"5683206";"PI-FME.1";"Seminář z formálních specifikací";"4";"";"";"D";"ZK";""
"3467506";"BIE-SP2.1";"Team Software Project 2";"4";"PO;";"P";"B;";"Z";"EN"
"1435606";"MI-W20";"Web 2.0";"4";"PO";"P";"M";"Z,ZK";"CS"
"1438106";"MIE-NUR";"User Interface Design";"4";"PO";"P";"M";"Z,ZK";"EN"
"1438206";"MIE-PIS";"Advanced Information Systems";"4";"PO";"P";"M";"Z,ZK";"EN"
"2779306";"BIE-SI2.2";"Software Engineering 2";"5";"PO";"";"B";"ZK";"EN"
"2961106";"BI-FTR";"Finanční trhy";"4";"PV;";"P";"B;";"Z,ZK";""
"1442106";"BIK-ZSI";"Základy softwarového inženýrství";"5";"PO";"K";"B";"Z,ZK";"CS"
"1448406";"BIE-SI2";"Software Engineering 2";"5";"PO";"P";"B";"Z,ZK";"EN"
"5927806";"PI-BCM";"Konceptuální modelování chování";"4";"V;";"";"D;";"ZK";""
"1448006";"BIE-AWD";"Web and Database Server Administration";"4";"PO";"P";"B";"Z,ZK";"EN"
"1434306";"MI-FRI";"Finanční řízení ICT";"4";"PO;V;";"P";"M";"Z,ZK";"CS"
"1446106";"BIE-PGR";"Computer Graphics";"6";"PO";"P";"B";"Z,ZK";"EN"
"6699606";"NIE-AM2";"Middleware Architectures 2";"5";"V;";"P";"M;";"Z,ZK";"EN"
"1446606";"BIE-MGA";"Multimedia and Graphics Applications";"5";"PO";"P";"B";"Z,ZK";"EN"
"1447906";"BIE-PPR";"Project, Presentation and Rhetoric";"5";"P";"P";"B";"KZ";"EN"
"1446906";"BIE-EKP";"Enterprise Economics";"5";"PO";"P";"B";"Z,ZK";"EN"
"4730506";"BI-EHD";"Úvod do evropských hospodářských dějin";"3";"PV;V;";"P";"B;";"Z,ZK";"CS"
"2375506";"FI-FIL";"Filosofie";"2";"PV;";"";"B;M;";"ZK";"CS"
"5927906";"PI-SCM";"Strukturální konceptuální modelování";"4";"V;";"";"D;";"ZK";""
"6017606";"FI-VEZ";"Ekonomicko manažerský  předmět z výjezdu v zahraničí";"4";"PV;";"";"B;M;";"Z";""
"1447206";"BIE-OMO";"Object Modeling";"5";"PO";"P";"B";"Z,ZK";"EN"
"1448206";"BIE-PRP";"Law and Business";"4";"PO";"P";"B";"Z,ZK";"EN"
"2964206";"MIE-STR";"Strategy in the ICT industry on case studies";"2";"V;";"P";"M;";"ZK";""
"2392806";"BIE-PWT";"Enterprise Web Technologies";"5";"PO";"P";"B";"Z,ZK";"EN"
"1447106";"BIE-MUM";"Multimedia";"5";"PO";"P";"B";"Z,ZK";"EN"
"1431206";"MI-SIN";"Integrace v informačních systémech";"4";"PO";"P";"M";"ZK";"CS"
"1125006";"BI-FIP";"Účetnictví a finance podniku";"5";"PO;V;";"P";"B";"Z,ZK";"CS"
"1124206";"BI-ZSI";"Základy softwarového inženýrství";"5";"PO";"P";"B";"Z,ZK";"CS"
"1442806";"BIK-PGR";"Počítačová grafika";"6";"PO";"K";"B";"Z,ZK";"CS"
"1678706";"BI-PCS";"Jazyk C# - přístup k datům";"4";"V";"P";"B";"KZ";"CS"
"1449406";"BIE-ZSI";"Introduction to Software Engineering";"5";"PO";"P";"B";"Z,ZK";"EN"
"1445906";"BIK-WT2";"Tvorba webových aplikací";"5";"PO";"K";"B";"Z,ZK";"CS"
"1442506";"BIK-EPD";"Ekonomika podnikání";"4";"P";"K";"B";"KZ";"CS"
"1446006";"BIK-WMM";"Web a multimédia";"5";"PO";"K";"B";"Z,ZK";"CS"
"2320806";"BIE-WT2";"Web Technologies 2";"5";"PO";"P";"B";"Z,ZK";"CS"
"1812806";"BIE-WT1";"Web Technology I";"5";"PO";"P";"B";"Z,ZK";"EN"
"1441906";"BIK-VWM";"Vyhledávání na webu a v multimed. DB";"5";"PO";"K";"B";"Z,ZK";"CS"
"2822906";"BIE-EPD.2";"Business Economics";"5";"P";"P";"B";"KZ";"EN"
"1810906";"BIK-WT1";"Webove technologie I (Web a multimédia)";"5";"PO;";"K";"B;";"Z,ZK";""
"4669606";"MIE-ADP.16";"Architecture and Design Patterns";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"1435006";"MI-PDB";"Pokročilé databázové systémy";"4";"PO";"P";"M";"Z,ZK";"CS"
"1469206";"BIE-SP2";"Team Software Project 2";"6";"PO";"P";"B";"KZ";"EN"
"3499206";"BIK-FMU";"Finanční a manažerské účetnictví";"5";"";"K";"B;";"Z,ZK";"CS"
"4257206";"MI-DNP";"Pokročilý .NET";"4";"V;";"P";"M;";"Z,ZK";"CS"
"5337206";"BI-ZS10";"Zahraniční stáž pro bakalářské studium za 10 kreditů";"10";"V;";"P";"B;";"Z";""
"5337606";"MI-ZS20";"Zahraniční stáž pro magisterské studium za 20 kreditů";"20";"V;";"P";"M;";"Z";""
"5337506";"MI-ZS10";"Zahraniční stáž pro magisterské studium za 10 kreditů";"10";"V;";"P";"M;";"Z";""
"5337406";"BI-ZS30";"Zahraniční stáž pro bakalářské studium za 30 kreditů";"30";"V;";"P";"B;";"Z";""
"5337306";"BI-ZS20";"Zahraniční stáž pro bakalářské studium za 20 kreditů";"20";"V;";"P";"B;";"Z";""
"5337706";"MI-ZS30";"Zahraniční stáž pro magisterské studium za 30 kreditů";"30";"V;";"P";"M;";"Z";""
"1122406";"BI-DBS";"Databázové systémy";"6";"P";"P";"B";"Z,ZK";"CS"
"5171406";"BIE-EPR";"Economic project";"1";"PV;";"P";"B;";"Z";"EN"
"1477406";"BI-APJ";"Aplikační Programování v Javě";"4";"V";"P";"B";"Z,ZK";"CS"
"1808806";"BI-DAN";"Daně pro neekonomy";"4";"PV";"";"B";"Z,ZK";"CS"
"2777406";"BI-A1Z";"Anglický jazyk 1-1";"0";"V;";"";"B;";"Z";"CS"
"2300806";"BI-A2Z";"Anglický jazyk 2-1";"0";"V";"";"B";"Z";""
"2777306";"BI-A0Z";"Anglický jazyk 0-1";"0";"V;";"";"B;";"Z";"CS"
"3459206";"BI-DPR";"Dokumentace, prezentace, rétorika";"4";"P;";"P";"B;";"KZ";"CS"
"5073606";"BI-CS2";"Jazyk C# - přístup k datům";"4";"V";"P";"B";"KZ";"CS"
"5077306";"BIE-CZ0";"Czech Language for Foreigners";"2";"V;";"";"0;";"KZ";""
"2379506";"BI-ANG1";"Zkouška z angličtiny bez přípravných kurzů";"2";"P";"";"B";"Z,ZK";"CS"
"1433006";"MI-PIS";"Pokročilé informační systémy";"4";"PZ";"P";"M";"Z,ZK";"CS"
"1434506";"MI-MDW";"Webové služby a middleware";"4";"PO";"P";"M";"Z,ZK";"CS"
"5124306";"BI-PJS.1";"Programování v jazyku Javascript";"4";"V";"P";"B";"KZ";"CS"
"5077206";"BI-ZNF";"Základy programování v Nette";"3";"V;";"P";"B;";"KZ";"CS"
"1123606";"BI-SP1";"Softwarový týmový projekt 1";"4";"PO";"P";"B";"KZ";"CS"
"1443906";"BIK-OMO";"Objektové modelování";"5";"PO";"K";"B";"Z,ZK";"CS"
"1444806";"BIK-AWD";"Administrace webového a DB serveru";"4";"PO";"K";"B";"Z,ZK";"CS"
"5712406";"BI-TDA";"Test-driven architektura";"4";"V;";"P";"B;";"KZ";"CS"
"1445206";"BIK-MGA";"Multimediální a grafické aplikace";"5";"PO";"K";"B";"Z,ZK";"CS"
"1435506";"MI-VMW";"Vyhledávání multimediálního obsahu na webu";"4";"PO";"P";"M";"Z,ZK";"CS"
"2052906";"BI-PWT";"Podnikové webové technologie";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"1123006";"BI-OMO";"Objektové modelování";"5";"PO";"P";"B";"Z,ZK";"CS"
"1997106";"BIE-PJV";"Programming in Java";"4";"V";"P";"B";"Z,ZK";"EN"
"1810806";"BI-WT1";"Webové technologie I";"5";"PO";"P";"B";"Z,ZK";"CS"
"3319306";"BI-SQL.1";"Jazyk SQL, pokročilý";"4";"V";"P";"0;";"KZ";"CS"
"2200806";"BIK-PJV";"Programování v Javě";"4";"V";"K";"B";"Z,ZK";"CS"
"2162806";"BIK-MEK";"Makroekonomické souvislosti domácí a světové ekonomiky";"4";"PV;";"K";"B;";"KZ";"CS"
"2822806";"BIK-EPD.2";"Ekonomika podnikání";"5";"P";"K";"B";"KZ";"CS"
"2302906";"BIE-ZWU";"Introduction to Web and User Interfaces";"4";"";"P";"B";"Z,ZK";"EN"
"2532806";"BI-ZPI";"Základy procesního inženýrství";"4";"V;";"P";"B;";"KZ";"CS"
"2358206";"BIK-ZWU";"Základy webu a uživatelská rozhraní";"4";"V;";"K";"B;";"Z,ZK";"CS"
"2302806";"BI-ZWU";"Základy webu a uživatelská rozhraní";"4";"V;";"P";"B;";"Z,ZK";"CS"
"2055206";"BI-WT2";"Webové  technologie 2";"5";"PO";"P";"B";"Z,ZK";"CS"
"3319206";"BIK-SQL.1";"Jazyk SQL, pokročilý";"4";"V";"K";"B";"KZ";"CS"
"3467706";"BIE-TJV";"Java Technology";"4";"PO;";"";"B;";"Z,ZK";"EN"
"5712106";"BI-KOT";"Programování v jazyku Kotlin";"4";"V;";"P";"B;";"Z,ZK";"CS"
"4651706";"MI-FME.16";"Formální metody a specifikace";"5";"PO";"P";"M";"Z,ZK";"CS"
"3429206";"BI-OPJ";"Objektové programování v Javě";"7";"V;";"P";"B;";"Z,ZK";"CS"
"2779106";"BIK-SI2.2";"Softwarové inženýrství 2";"5";"PO";"K";"B";"ZK";"CS"
"1336206";"BI-PJV";"Programování v Javě";"4";"V";"P";"B";"Z,ZK";"CS"
"1125606";"BI-SP2";"Softwarový týmový projekt 2";"6";"PO;";"P";"B;";"KZ";"CS"
"2410806";"BI-MIK";"Základy mikroekonomie";"4";"PV;";"P";"B;";"Z,ZK";"CS"
"1445706";"BIK-SP2";"Softwarový týmový projekt 2";"6";"PO";"K";"B";"KZ";"CS"
"4903306";"MIE-SEP";"World Economy and Business";"4";"PV;V;";"P";"M;";"Z,ZK";"EN"
"1121706";"BI-PAI";"Právo a informatika";"3";"P";"P";"B";"ZK";"CS"
"1440706";"MIE-VMW";"Retrieval of Multimedia Content on the Web";"4";"PO";"P";"M";"KZ";"EN"
"2384806";"BI-MEK";"Makroekonomické souvislosti domácí a světové ekonomiky";"4";"PV";"P";"B";"Z,ZK";"CS"
"3462706";"BI-TJV";"Technologie Java";"4";"PO;";"P";"B;";"Z,ZK";"CS"
"3469906";"BIK-DPR";"Dokumentace, prezentace, rétorika";"4";"P;";"K";"B;";"KZ";"CS"
"1125806";"BI-TIS";"Tvorba informačních systémů";"5";"PO";"P";"B";"Z,ZK";"CS"
"2778806";"BI-SI1.2";"Softwarové inženýrství I";"5";"P";"P";"B";"Z,ZK";"CS"
"5555206";"BIE-SP2.2";"Team Software Project 2";"4";"PO;";"P";"B;";"KZ";"EN"
"4653106";"MIE-FME.16";"Formal Methods and Specifications";"5";"PO";"";"M";"Z,ZK";"EN"
"4767806";"MI-NSS.16";"Normalized Software Systems";"5";"PO;V;";"";"M;";"ZK";"EN"
"1125406";"BI-PRP";"Právo a podnikání";"4";"PO";"P";"B";"Z,ZK";"CS"
"3472006";"BIK-SP2.1";"Softwarový týmový projekt 2";"4";"PO;";"K";"B;";"KZ";"CS"
"2960906";"BI-MMP";"Multimediální týmový projekt";"4";"V;";"P";"B;";"KZ";"CS"
"1441606";"BIK-PPR";"Projekt, prezentace a rétorika";"5";"P";"K";"B";"KZ";"CS"
"1434006";"MI-DPO";"Návrhové vzory a OOP";"4";"PO";"P";"M";"Z,ZK";"CS"
"1433806";"MI-DDW";"Dolování dat z webu";"4";"PO";"P";"M";"Z,ZK";"CS"
"1125306";"BI-PPR";"Projekt, prezentace a rétorika";"5";"P";"P";"B";"KZ";"CS"
"1440506";"MIE-SWE";"Semantic Web";"4";"PO";"P";"M";"Z,ZK";"EN"
"1439006";"MIE-DDW";"Web Data Mining";"4";"PO";"P";"M";"Z,ZK";"EN"
"1440806";"MIE-W20";"Web 2.0";"4";"PO";"P";"M";"Z,ZK";"EN"
"1808906";"MI-AIT";"Případové studie aplikace a řízení IT";"2";"PV";"P";"M";"ZK";"CS"
"1439706";"MIE-MDW";"Web Services and Middleware";"4";"PO";"P";"M";"Z,ZK";"EN"
"3462906";"BI-TWA.1";"Tvorba webových aplikací";"5";"PZ;V;";"P";"B;";"Z,ZK";"CS"
"5712206";"MI-VEM";"Vědecké myšlení";"2";"V;";"";"M;";"KZ";"CS"
"1436906";"MIE-PRM";"Project Management";"3";"P";"P";"M";"Z";"EN"
"4652806";"MI-W20.16";"Web 2.0";"5";"PO";"P";"M";"Z,ZK";"CS"
"1434206";"MI-FME";"Formální metody a specifikace";"4";"PO";"P";"M";"Z,ZK";"CS"
"4653806";"MIE-PIS.16";"Advanced Information Systems";"5";"PO";"P";"M";"Z,ZK";"EN"
"1441106";"BIK-SP1";"Softwarový týmový projekt 1";"4";"PO";"K";"B";"KZ";"CS"
"1435306";"MI-SWE";"Semantický web";"4";"PO";"P";"M";"Z,ZK";"CS"
"1441706";"BIK-PRP";"Právo a podnikání";"4";"PO";"K";"B";"Z,ZK";"CS"
"1440206";"MIE-PDB";"Advanced Database Systems";"4";"PO";"P";"M";"Z,ZK";"EN"
"1678806";"BI-PJS";"Programování v jazyku Javascript";"4";"V";"P";"B";"KZ";"CS"
"4654206";"MIE-W20.16";"Web 2.0";"5";"PO";"";"M";"Z,ZK";"EN"
"6143806";"NI-VEM";"Vědecké myšlení";"2";"PV;V;";"";"M;";"KZ";"CS"
"1432906";"MI-NUR";"Návrh uživatelského rozhraní";"4";"PO";"P";"M";"Z,ZK";"CS"
"1442406";"BIK-DBS";"Databázové systémy";"6";"P";"K";"B";"Z,ZK";"CS"
"4653406";"MIE-MDW.16";"Web Services and Middleware";"5";"PO";"";"M";"Z,ZK";"EN"
"1125106";"BI-PGR";"Počítačová grafika";"6";"PO";"P";"B";"Z,ZK";"CS"
"3459506";"BI-FTR.1";"Finanční trhy";"5";"PV;";"P";"B;";"Z,ZK";"CS"
"1694406";"MI-DZO";"Digitální zpracování obrazu";"4";"V";"P";"M";"Z,ZK";"CS"
"4653706";"MIE-PDB.16";"Advanced Database Systems";"5";"PO";"";"M";"Z,ZK";"EN"
"6175806";"NI-DNP";"Pokročilý .NET";"4";"V;";"P";"M;";"Z,ZK";"CS"
"5429206";"MI-AFP";"Aplikované funkcionální programování";"5";"V;";"P";"M;";"KZ";"CS"
"4652406";"MI-PIS.16";"Pokročilé informační systémy";"5";"PZ";"P";"M";"Z,ZK";"CS"
"6083506";"NI-PG1";"Počítačová grafika 1";"4";"V;";"P";"M;";"ZK";"CS"
"1291406";"BI-PYT";"Programování v Pythonu";"4";"V";"P";"B";"Z,ZK";"CS"
"2779206";"BIE-SI1.2";"Software Engineering I";"5";"P;";"";"B";"Z,ZK";"EN"
"3470206";"BIK-KOM";"Konceptuální modelování";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"2056806";"BI-AND";"Programování pro operační systém Android";"4";"V;";"P";"B;M;";"Z,ZK";"CS"
"3091506";"MI-IOS";"Pokročilé techniky v iOS aplikacích";"4";"V";"";"M;";"KZ";""
"3465306";"BIE-DPR";"Documentation, Presentation, Rhetorics";"4";"P;";"P";"B;";"KZ";"EN"
"6172206";"NI-IOS";"Pokročilé techniky v iOS aplikacích";"4";"V";"";"M;";"KZ";"CS"
"1477506";"BI-DNP";"Programování v .NET";"4";"V";"P";"B";"KZ";"CS"
"3465606";"BIE-KOM";"Conceptual Modelling";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"2644806";"BI-A0L";"Anglický jazyk 0-2";"0";"V;";"";"B;";"Z";"CS"
"4730006";"BIE-EHD";"Introduction to European Economic History";"3";"V;";"P";"B;";"Z,ZK";"EN"
"1469306";"BIE-SP1";"Team Software Project 1";"4";"PO";"P";"B";"KZ";"EN"
"1678506";"BI-EJA";"Enterprise java";"4";"V";"P";"B";"Z,ZK";"CS"
"2644906";"BI-A1L";"Anglický jazyk 1-2";"0";"V;";"";"B;";"Z";"CS"
"1124606";"BI-AWD";"Administrace webového a DB serveru";"4";"PO";"P";"B";"Z,ZK";"CS"
"5240406";"BI-BLE";"Blender";"4";"V;";"P";"B;";"Z,ZK";"CS"
"5073306";"BI-CS3";"Jazyk C# - tvorba webových aplikací";"4";"V;";"P";"B;";"KZ";""
"2778906";"BI-SI2.2";"Softwarové inženýrství 2";"5";"PO";"P";"B";"ZK";"CS"
"4651506";"MI-DDW.16";"Dolování dat z webu";"5";"PO";"P";"M";"Z,ZK";"CS"
"4652906";"MIE-DDW.16";"Web Data Mining";"5";"PO";"";"M";"Z,ZK";"EN"
"1448706";"BIE-DBS";"Database Systems";"6";"P";"";"B";"Z,ZK";"EN"
"3427206";"BIE-MIK";"Fundamentals of Microeconomics";"4";"PV;";"P";"B;";"Z,ZK";"EN"
"4849206";"BI-PHP.1";"Programování v PHP";"4";"V;";"P";"B;";"KZ";"CS"
"2375406";"FI-HTE";"Historie techniky a ekonomiky";"2";"PV;";"";"B";"ZK";"CS"
"3462106";"BI-SI2.3";"Softwarové inženýrství 2";"3";"PO;V;";"P";"B;";"Z,ZK";"CS"
"4672406";"MI-PCM.16";"Projektové a změnové řízení";"3";"PV;PZ;";"P";"M;";"KZ";"CS"
"4652006";"MI-MDW.16";"Webové služby a middleware";"5";"PO";"P";"M";"Z,ZK";"CS"
"5527206";"MI-MPX";"Manažerská praxe";"4";"PV;V;";"P";"M;";"Z";"CS"
"6078606";"NI-RSP";"Řízení SW projektů";"4";"PV;";"P";"M;";"KZ";"CS"
"2811806";"FI-KSA";"Úvod do kulturní a sociální antropologie";"2";"PV;V;";"P";"B;";"ZK";"CS"
"2375606";"FI-MPL";"Manažerská psychologie";"2";"PV;";"";"B;M;";"ZK";"CS"
"4652106";"MI-MEP.16";"Modelování ekonomických procesů";"5";"PZ";"P";"M";"Z,ZK";"CS"
"4652306";"MI-PDB.16";"Pokročilé databázové systémy";"5";"PO";"P";"M";"Z,ZK";"CS"
"4663306";"MI-ADP.16";"Architektonické a návrhové vzory";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"4652706";"MI-VMM.16";"Vyhledávání v multimédiích";"5";"PO";"P";"M";"Z,ZK";"CS"
"6113706";"NI-NUR";"Návrh uživatelského rozhraní";"5";"PO";"P";"M";"Z,ZK";"CS"
