"predmet_id";"kod_predmetu";"nazev_predmetu";"pocet_kreditu";"typ_predmetu";"forma_studia";"uroven_studia";"zpusob_zakonceni";"jazyk_vyuky"
"6670206";"BIE-VDC.21";"Virtualization and Data Centers";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"6674906";"BIK-VDC.21";"Virtualizace a datová centra";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"6670806";"BIE-IOT.21";"Internet of Things";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"6684606";"BIK-UOS.21";"Unixové operační systémy";"5";"P";"K";"B";"KZ";"CS"
"6576506";"BI-IOT.21";"Internet věcí";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"6705506";"BIE-ADU.21";"Unix Administration";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"6704606";"BI-ADU.21";"Administrace OS Unix";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"6684806";"BI-UOS.21";"Unixové operační systémy";"5";"P";"P";"B";"KZ";"CS"
"6701806";"BIE-APS.21";"Architectures of Computer Systems";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"6699006";"BIK-PSI.21";"Počítačové sítě";"5";"P";"K";"B";"Z,ZK";"CS"
"6699106";"BIE-PSI.21";"Computer Networks";"5";"P";"P";"B";"Z,ZK";"EN"
"6692406";"BI-PSI.21";"Počítačové sítě";"5";"P";"P";"B";"Z,ZK";"CS"
"6705206";"BIK-ADU.21";"Administrace OS Unix";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"6701706";"BIK-APS.21";"Architektury počítačových systémů";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"6684706";"BIE-UOS.21";"Unix-like Operating Systems";"5";"P";"P";"B";"KZ";"EN"
"6290806";"BI-MIT";"Mikrotik technologie";"3";"V;";"P";"B;";"KZ";"CS"
"5719906";"MIE-POS";"Advanced operating systems";"3";"";"P";"";"ZK";"EN"
"4672706";"BIK-PS2";"Programování v shellu 2";"4";"PO";"K";"B";"Z,ZK";"CS"
"4643006";"MI-PDP.16";"Paralelní a distribuované programování";"5";"P;";"P";"M;";"Z,ZK";"CS"
"4661606";"MIE-PDP.16";"Parallel and Distributed Programming";"5";"P;";"";"M;";"Z,ZK";"CS"
"1447306";"BIE-OSY";"Operating Systems";"5";"P";"";"B";"Z,ZK";"EN"
"3464506";"BIE-APS.1";"Architectures of Computer Systems";"5";"PO;";"";"B;";"Z,ZK";"EN"
"3469206";"BIK-APS.1";"Architektury počítačových systémů";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"3458406";"BI-APS.1";"Architektury počítačových systémů";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"1121406";"BI-OSY";"Operační systémy";"5";"P";"P";"B";"Z,ZK";"CS"
"6670906";"BIE-SIP.21";"Network Programming";"5";"PO;V;";"P";"B;";"Z";"EN"
"6624106";"NIE-PDP";"Parallel and Distributed Programming";"6";"P;";"P";"M;";"Z,ZK";"EN"
"6576806";"BI-MSI.21";"Mobilní sítě";"5";"PO;V;";"P";"B;";"Z,ZK";"CS"
"1123206";"BI-PSI";"Počítačové sítě";"5";"P";"P";"B";"Z,ZK";"CS"
"6670106";"BIE-VPS.21";"Selected Topics in Computer Networking";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"6670706";"BIE-SPS.21";"Administration of Computer Networks and Services";"5";"PO;V;";"P";"B;";"Z,ZK";"EN"
"6698406";"BIE-OSY.21";"Operating Systems";"5";"P";"P";"B";"Z,ZK";"EN"
"6671006";"BIE-MSI.21";"Mobile Networks";"5";"PO;V;";"P";"B;";"Z,ZK";"EN"
"6674706";"BIK-SPS.21";"Správa sítí a služeb";"5";"PO;V;";"K";"B;";"Z,ZK";"CS"
"6072106";"NI-MCC";"Výpočty na vícejádrových procesorech";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"6629006";"NIE-VCC";"Virtualization and Cloud Computing";"5";"PO;";"P";"M;";"Z,ZK";"EN"
"6071906";"NI-VCC";"Virtualizace a cloud computing";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"6674806";"BIK-TPS.21";"Technologie počítačových sítí";"5";"PO;V;";"K";"B;";"Z,ZK";"CS"
"6669806";"BIE-TPS.21";"Computer Networks Technologies";"5";"PO";"P";"B;";"Z,ZK";"EN"
"6692306";"BI-OSY.21";"Operační systémy";"5";"P";"P";"B";"Z,ZK";"CS"
"6576706";"BI-SPS.21";"Správa sítí a služeb";"5";"PO;V;";"P";"B;";"Z,ZK";"CS"
"6576606";"BI-SIP.21";"Síťové programování";"5";"PO;V;";"P";"B;";"Z";"CS"
"6576106";"BI-TPS.21";"Technologie počítačových sítí";"5";"PO;V;";"P";"B;";"Z,ZK";"CS"
