"statni_zkouska_id";"zaverecna_prace_id";"studium_id";"cislo_terminu";"typ_szzk";"uzavreno";"datum_prihlaseni";"datum_absolvovani";"celkove_hodnoceni";"poznamka"
"587864707305";"";"7786306";"1";"SZZ";"";"";"";"";""
"587864707405";"";"7786406";"1";"SZZ";"";"";"";"";""
"587864707505";"828175995805";"7786806";"1";"SZZ";"";"2018-05-09";"";"1";""
"587864721705";"723029595005";"7787006";"1";"SZZ";"A";"2016-04-23";"2016-06-28";"1";""
"587864721805";"701721450105";"7787206";"1";"SZZ";"A";"2016-04-18";"2016-06-27";"2";""
"587864721905";"816875746705";"7787306";"1";"SZZ";"";"2017-05-02";"";"1.5";""
"587864722005";"823910461505";"7787406";"1";"SZZ";"";"2017-04-18";"";"2";""
"763155687205";"716301937805";"7787606";"2";"SZZ";"";"2017-01-10";"2017-02-08";"2.5";""
"587864722105";"716301937805";"7787606";"1";"SZZ1";"A";"2016-05-16";"2016-06-21";"4";""
"587864722205";"715526932205";"7787706";"1";"SZZ";"A";"2016-05-11";"2016-06-22";"1";""
"587864722305";"709290765405";"7787806";"1";"SZZ";"A";"2016-05-04";"2016-06-29";"1.5";""
"587864722405";"";"7788006";"1";"SZZ";"";"";"";"";""
"587864722505";"";"7788106";"1";"SZZ";"";"";"";"";""
"587864722605";"";"7788206";"1";"SZZ";"";"";"";"";""
"587864722705";"";"7788306";"1";"SZZ";"";"";"";"";""
"587864722805";"720183480505";"7788506";"1";"SZZ";"A";"2016-05-17";"2016-06-21";"1.5";""
"587864722905";"";"7788606";"1";"SZZ";"";"";"";"";""
"587864723005";"";"7788706";"1";"SZZ";"";"";"";"";""
"587864723105";"";"7788806";"1";"SZZ";"";"";"";"";""
"587864723205";"827117983505";"7788906";"1";"SZZ";"";"2017-05-02";"";"1.5";""
"587864723305";"";"7789006";"1";"SZZ";"";"";"";"";""
"587864515505";"726663466505";"7789206";"1";"SZZ";"A";"2016-05-17";"2016-06-28";"1";""
"587864515605";"714512640705";"7789506";"1";"SZZ";"A";"2016-05-16";"2016-06-22";"2.5";""
"587864515705";"717845695105";"7789606";"1";"SZZ";"A";"2016-05-09";"2016-06-28";"1";""
"587864515805";"";"7789906";"1";"SZZ";"";"";"";"";""
"587864515905";"701962857205";"7790006";"1";"SZZ";"A";"2016-05-04";"2016-06-22";"2";""
"587864516005";"";"7790206";"1";"SZZ";"";"";"";"";""
"587864516105";"737064913305";"7790406";"1";"SZZ";"A";"2016-05-10";"2016-06-23";"1.5";""
"587864516205";"";"7790606";"1";"SZZ";"";"";"";"";""
"587864516305";"704893578905";"7790706";"1";"SZZ";"A";"2016-05-13";"2016-06-23";"2.5";""
"538396683605";"538396683505";"7791006";"1";"SZZ";"A";"2015-05-20";"2015-06-16";"1.5";""
"587864516405";"715527179505";"7791106";"1";"SZZ";"A";"2016-05-04";"2016-06-28";"1";""
"587864516505";"630257707605";"7791306";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"2.5";""
"587864526005";"710026945805";"7791606";"1";"SZZ";"A";"2016-05-04";"2016-06-27";"1.5";""
"587864526105";"798146746405";"7791906";"1";"SZZ";"";"2018-05-12";"";"2";""
"587864526205";"";"7792006";"1";"SZZ";"";"";"";"";""
"587864526305";"";"7792106";"1";"SZZ";"";"";"";"";""
"587864526405";"";"7792306";"1";"SZZ";"";"";"";"";""
"587864526505";"";"7792406";"1";"SZZ";"";"";"";"";""
"587864526605";"799167666605";"7792906";"1";"SZZ";"";"2017-05-07";"";"1";""
"587864526705";"";"7793106";"1";"SZZ";"";"";"";"";""
