"cislo_prihlasky";"odkud_uchazec_prihlasen_kod";"prihlaska_kod";"studium_id";"rozhodnuti_kod";"obor_ss_kod";"ss_izo";"ss_typ";"ss_predmet1";"ss_predmet2";"ss_predmet3";"ss_predmet4";"ss_predmet5";"ss_predmet1_znamky";"ss_predmet2_znamky";"ss_predmet3_znamky";"ss_predmet4_znamky";"ss_predmet5_znamky";"ss_predmet1_prumer";"ss_predmet2_prumer";"ss_predmet3_prumer";"ss_predmet4_prumer";"ss_predmet5_prumer";"ss_prumer_prumeru";"ss_prumer_znamek";"bakalar_prumer";"predchozi_studium";"doplnujici_udaj1";"doplnujici_udaj2";"doplnujici_udaj3";"doplnujici_udaj4";"typ_prihlasky";"maturita_znamky";"maturita_prumer";"maturita_predmety";"maturita_rok";"cislo_mistnosti_pz";"datum_pz";"prominuti_pz";"hodnoceni_pz";"hodnoceni_pz_cast1";"hodnoceni_pz_cast2";"hodnoceni_pz_cast3";"hodnoceni_pz_cast4";"hodnoceni_pz_cast5";"hodnoceni_pz_cast6";"hodnoceni_pz_cast7";"hodnoceni_pz_cast8";"hodnoceni_pz_cast9";"hodnoceni_pz_cast10";"hodnoceni_pz_cast11";"hodnoceni_pz_cast12";"zapsal_ke_studiu";"status";"stipendium";"stipendium_cizi";"kolej_zadost";"termin";"prechodne";"studijni_skupina";"nove_prijaty";"navazujici_stud_program";"trvaly_pobyt_v_cr";"financovani";"stupen_predchoziho_vzdelani";"pz1_datum";"pz1_cas";"pz1_mistnost";"pz2_datum";"pz2_cas";"pz2_mistnost";"pz3_datum";"pz3_cas";"pz3_mistnost";"pisemny_test";"anketa_odkud_kod";"anketa_odkud_poznamka";"cislo_uchazece";"scio_test";"olympiady";"postizeni_kod";"postizeni_poznamka";"placeno_r";"placeno_poznamka";"placeno_mail";"staz_stat";"staz_poznamka";"maturita_uroven";"zajem";"zprava_pro_uchazece";"priorita";"datum_registrace";"datum_rozhodnuti";"misto_kod";"okres_kod";"zeme_kod";"psc"
"2092";"3";"92841312";"17884306";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FEL ČVUT v Praze - dokončené bakalařské studium
FIT ČVUT v Praze - navazujici mag., nedokončené
FIT ČVUT v Praze - celoživotní vzdělávání";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"69";"18";"";"2";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2886653";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-03-27";"2020-07-06";"Jinočany";"3210";"3210";"25225"
"2136";"7";"89335780";"17896206";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FIT ČVUT";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"1";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2888787";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-03-28";"2020-06-23";"Lanškroun";"3611";"3611";"56301"
"2887";"7";"85727063";"19151306";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT, FIT, bakalářské prezenční, teoretická informatika

Tento semestr studuji programy z celoživotního vzdělávání na FIT, FEL. Je to kvůli tomu, že jsem obhajoval BP v zimě.";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"1";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3143338";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-04-01";"2021-04-29";"Vlašim";"3201";"203";"25801"
"228";"7";"44811048";"17891906";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Aktuálne študent FIT ČVUT, studíjny program Informatika, obor Znalostní inženýrství. Zahajenie štúdia 20.9.2016, predpokladaný dátum ukončenia na konci letného semestra 2019/2020.";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"1";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"N";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2792009";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-01-29";"2020-06-30";"Bratislava";"";"";""
"1859";"7";"40071410";"19154106";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT, FIT, Informatika, Znalostní inženýrství, 28.6.2018 - 27. 6. 2021, Bakalář 
";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"1";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"N";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3090010";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-03-18";"2021-06-24";"49000 Dnipropetrovsk oblast, Dnipro";"";"804";""
"951";"7";"57770882";"18532106";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT Praha, Fakulta informačních technologií, bakalářský, Informatika, Znalostní inženýrství
2017 - 2020";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"1";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2827297";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-02-29";"2020-09-07";"Český Krumlov";"3302";"3302";"38101"
"418";"7";"40926500";"19153806";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VŠ: ČVUT,
fakulta: Fakulta informačních technologií (FIT),
studijní program: Informatika,
obor: Softwarové inženýrství, 
zahájení studia: září 2017,
ukončení studia: únor 2021,
titul: Bc";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"1";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3024021";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-02-04";"2021-04-28";"Budyně nad Ohří";"3506";"203";"41118"
"538";"7";"54474665";"17893506";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT Praha, Fakulta informačních technologií
Informatika, Bezpečnost a informační technologie
2016 - 2020";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"1";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2806265";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-02-15";"2020-06-23";"Dobřív";"3408";"3408";"33844"
"1100";"7";"59964314";"17890306";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"V tento okamžik studuju v posledním ročníku Fakulty Informačních Technologií ČVUT. ";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"1";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2831664";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-03-03";"2020-06-24";"73488 Kherson, Stepanivka";"";"";""
"398";"7";"51673016";"17889606";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT v Praze - Fakulta informačních technologií, Bakalářský program Informatika, obor Počítačové inženýrství, zahájení studia: 30.6.2017, předpokládané ukončení studia: červen 2020";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"1";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2801073";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-02-11";"2020-06-24";"Sány";"3208";"3208";"28906"
"2230";"7";"66350498";"19344206";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- UK, Matematicko-fyzikální fakulta, Obecná matematika, 2016-2017
- ČVUT, FIT, Softwarové inženýrství, 2017-2020, Uděleno Bc.
- ČVUT, FIT, 2020-2021";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"88";"18";"";"2";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3110580";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-03-25";"2021-06-22";"Český Krumlov";"3302";"203";"38101"
"911";"7";"91332091";"17885406";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FIT - bakalářský program Informatika, Teoretická informatika, 2014 - současnost";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"1";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2825867";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-02-28";"2020-06-30";"Zruč-Senec";"3407";"3407";"33008"
"2516";"7";"59816246";"18533306";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FJFI, ČVUT FIT";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"1";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2906552";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-03-31";"2020-09-07";"Tábor";"3308";"3308";"39002"
