"studium_id";"typ_programu";"forma_studia";"datum_zahajeni";"datum_ukonceni";"rocnik";"studijni_stav";"studuje";"zamereni_id";"fakulta_id";"nazev_fakulty";"jazyk_vyuky";"ukonceni_zpusob";"platby_stav";"pruchod";"rok_maturity";"odkud_skola_kod"
"6253106";"B";"P";"2012-06-29";"2015-06-16";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2012-01-01";"061664707"
"6286706";"B";"P";"2012-06-29";"2013-10-15";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2012-01-01";"060884746"
"6301006";"B";"P";"2012-06-29";"2013-02-18";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2012-01-01";"018383874"
"6282406";"B";"P";"2012-06-29";"2016-06-28";"4";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2012-01-01";"000081825"
"6282806";"B";"P";"2012-06-29";"2014-11-05";"3";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2012-01-01";"000076953"
"6255306";"B";"P";"2012-06-29";"2015-06-16";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2012-01-01";"000077003"
"6282606";"B";"P";"2012-06-29";"2013-02-11";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2012-01-01";"000068837"
"6253606";"B";"P";"2012-06-29";"2013-02-28";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2012-01-01";"000391107"
"6304106";"B";"P";"2012-06-29";"2013-03-09";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2012-01-01";"000082091"
"6307806";"B";"P";"2012-06-29";"2016-06-27";"4";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2012-01-01";"060096136"
"6256406";"B";"P";"2012-06-29";"2014-07-02";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2012-01-01";"000068772"
"6258606";"B";"P";"2012-06-29";"2013-10-23";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2012-01-01";"108001288"
"6301906";"B";"P";"2012-06-29";"2014-08-27";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2012-01-01";"999999999"
"5497706";"B";"P";"2011-09-05";"2012-01-31";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000069167"
"5512206";"B";"P";"2011-09-05";"2012-10-15";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"061386855"
"5520306";"B";"K";"2011-09-05";"2012-10-16";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"3";"";"1999-01-01";"102007926"
"5509806";"B";"P";"2011-09-05";"2013-06-27";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000638374"
"5497406";"B";"P";"2011-09-05";"2015-06-24";"4";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"061664545"
"5513506";"B";"P";"2011-09-05";"2013-08-07";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000638374"
"5500206";"B";"P";"2011-09-05";"2012-03-22";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2009-01-01";"999999999"
"5526406";"B";"P";"2011-09-05";"2012-02-21";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"060371731"
"5495506";"B";"P";"2011-09-05";"2014-06-18";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"130001660"
"5512606";"B";"P";"2011-09-05";"2012-01-09";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"060061863"
"5510206";"B";"P";"2011-09-05";"2012-06-28";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"3";"";"2007-01-01";"000068802"
"5521406";"B";"P";"2011-09-05";"2013-01-31";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"102006920"
"5521006";"B";"K";"2011-09-05";"2012-03-23";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"1988-01-01";"666666666"
