studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
1566106,0,1,2009,2008,1,1,1,0,0,0,0,0,1.5,2.5,4.0,4.0,1.0,1.0,4.0,,4.0,1.5,,,,4.0,,,,,,
1566206,0,1,2009,2009,0,1,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1566406,0,0,2009,2005,4,2,2,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1566506,0,1,2009,2009,0,0,1,0,0,0,0,1,2.0,2.0,1.0,2.0,2.5,2.5,2.0,2.0,1.5,3.0,,3.0,2.5,1.5,2.5,1.5,2.5,1.5,1.5,3.0
1566606,0,1,2009,2009,0,1,1,0,0,0,0,1,1.0,1.5,1.0,2.0,1.0,2.0,1.0,1.5,1.5,2.5,,2.0,2.0,1.5,2.0,2.0,3.0,1.5,2.5,2.5
1566706,0,1,2009,2009,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1566906,0,1,2009,2004,5,1,1,0,0,0,0,1,2.0,1.0,1.5,3.0,2.5,1.5,3.0,2.5,2.5,1.0,,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.5,2.5
1567006,0,1,2009,2009,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1567106,0,1,2009,2009,0,1,0,0,0,0,0,1,1.0,3.0,1.0,2.0,2.5,2.5,2.5,1.0,3.0,3.0,,2.0,3.0,1.5,2.0,1.5,2.0,1.5,1.5,3.0
1567206,0,1,2009,2009,0,1,1,0,0,0,0,1,1.0,1.5,1.5,3.0,1.5,2.5,3.0,2.0,1.0,3.0,,2.0,2.5,1.5,3.0,3.0,1.0,1.0,1.5,2.5
1567406,0,1,2009,2009,0,1,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1567506,0,1,2009,2009,0,0,0,0,0,0,0,1,1.5,2.5,1.5,3.0,2.5,3.0,2.0,2.0,2.0,3.0,,2.0,3.0,2.0,3.0,2.0,1.5,1.5,2.0,2.5
1567706,0,1,2009,2008,1,1,0,0,0,0,0,1,1.5,1.0,1.5,2.0,2.0,2.5,2.5,1.5,2.5,3.0,,2.0,2.0,3.0,2.5,2.0,2.0,1.0,1.0,2.0
