studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
1568206,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1568306,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1568506,1.0,1.5,2.5,2.5,1.5,2.5,2.0,1.0,1.0,3.0,,1.0,2.5,1.0,2.5,1.5,2.0,1.5,1.5,2.5
1568606,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.5,2.0
7137706,2.5,2.0,2.5,4.0,2.0,4.0,4.0,3.0,2.5,3.0,,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,2.5
1568806,2.5,2.0,2.5,3.0,2.0,4.0,3.0,3.0,2.5,4.0,,4.0,3.0,4.0,4.0,,2.0,,2.0,
1569006,1.5,1.5,1.5,1.5,1.0,1.0,3.0,2.0,1.5,2.0,,1.5,2.0,2.5,3.0,1.5,3.0,1.5,2.5,3.0
1569106,1.0,2.5,1.5,2.5,2.5,2.5,3.0,2.0,3.0,3.0,,2.5,2.5,2.0,2.0,2.5,1.5,1.0,2.0,3.0
1569306,4.0,4.0,4.0,3.0,2.0,2.0,4.0,,4.0,4.0,,,,4.0,,,,,,
1569606,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1569706,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,
1569806,2.0,2.5,1.0,3.0,2.0,2.5,4.0,4.0,3.0,4.0,,2.5,4.0,4.0,4.0,,4.0,,,
5521706,2.0,2.5,1.0,4.0,2.0,2.5,,4.0,,,,2.5,4.0,,,,,,,4.0
1570106,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1570206,3.0,2.0,2.5,3.0,3.0,3.0,3.0,2.0,3.0,3.0,,3.0,3.0,2.5,3.0,3.0,2.5,2.0,2.5,3.0
1570306,4.0,4.0,4.0,,4.0,4.0,,,,,,,,,,,,,,
1570406,1.0,1.5,1.5,3.0,2.5,3.0,2.0,1.5,2.5,3.0,,2.0,2.5,2.0,2.5,2.0,2.0,1.0,1.5,3.0
1570506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1570606,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1570806,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1571006,1.0,2.0,1.5,3.0,1.0,3.0,3.0,1.5,1.5,2.5,,2.5,3.0,2.5,2.0,2.0,1.5,1.5,1.5,3.0
1571106,1.0,2.0,1.0,2.5,2.0,1.0,1.0,1.0,1.0,2.5,,1.0,1.0,2.0,2.5,1.5,1.5,1.5,1.0,1.5
6321706,4.0,4.0,2.5,4.0,4.0,4.0,,,,,,,,,,,,,,
1571206,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1571306,1.0,1.5,1.0,2.0,1.0,1.5,2.0,1.0,1.5,2.0,,1.0,1.5,1.5,2.0,1.5,1.0,1.5,2.5,1.5
1571406,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1571506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
9671006,2.0,1.5,1.5,3.0,2.0,2.5,2.0,2.0,2.5,3.0,,3.0,2.5,2.5,2.0,3.0,2.5,2.0,2.0,1.5
1571706,2.0,1.5,3.0,3.0,3.0,2.5,3.0,2.0,2.5,3.0,,3.0,3.0,2.5,2.0,3.0,2.5,2.0,2.0,3.0
