studium_id,MI-PAA,MI-MPI,MI-PDP.16,MI-SPI.16
8328906,4.0,4.0,,
8323806,2.0,2.0,,
8373006,1.5,3.0,,
9981906,4.0,3.0,,
8333706,4.0,3.0,,
7864506,2.5,3.0,,
8341706,3.0,2.5,,
8335906,1.5,2.0,,
8323506,1.5,2.5,,
8334406,1.5,2.5,,
8343306,1.5,1.0,,
8340806,2.0,1.5,,
8340106,4.0,3.0,,
8326506,2.5,3.0,,
8372906,1.5,1.5,,
9238506,2.0,3.0,,
8356006,2.5,2.5,,
8324706,2.5,2.0,,
9251106,,,,
9247806,1.5,2.5,,
9236406,2.0,2.5,,
9981406,2.5,3.0,,2.5
11658806,2.0,2.5,,
9983206,2.0,4.0,,
9250206,2.5,3.0,,
8327606,2.0,2.0,,
8331606,2.0,2.0,,
9248906,1.5,3.0,,
9238606,2.0,3.0,,
8338106,1.5,3.0,,
17893406,,,,
8334706,4.0,2.5,,
13030106,1.5,2.5,2.0,3.0
9233006,,2.0,,
11647006,3.0,2.0,,
9245006,1.5,2.5,,
8331006,2.5,2.5,,
13034806,2.0,4.0,,
8340306,2.0,3.0,,
8332606,2.0,2.5,,
9233706,2.5,3.0,,
9233206,2.0,1.0,,
8333206,1.5,2.0,,
8337306,1.5,2.5,,
8334606,2.0,2.0,,
13029206,1.0,2.0,4.0,2.0
17205706,1.0,2.0,2.0,2.0
16197906,1.0,2.0,,2.0
11651206,4.0,4.0,,
13033006,2.0,3.0,2.0,2.5
9244506,,4.0,,
17205606,2.0,2.0,2.5,2.5
11642706,2.0,2.0,,2.5
8373406,1.5,1.5,,
8325806,2.0,2.5,,
9251206,4.0,,,
8331306,,4.0,,
9239806,2.5,3.0,,
9233806,2.5,3.0,,
9249006,4.0,2.5,,
13034706,4.0,2.5,,
15644706,4.0,2.5,,
16698506,4.0,2.5,,
8336206,3.0,3.0,,
8331706,2.0,1.5,,
8339006,,3.0,,
8323206,1.0,1.0,,
8330306,1.0,1.5,,
8329606,1.5,1.5,,
8332206,3.0,2.0,,
11656406,,4.0,,
8344406,1.0,1.0,,
8373506,2.0,2.5,,
8341206,2.5,2.5,,
8332806,1.0,1.5,,
12237306,2.0,2.5,,
8341606,2.0,4.0,,
8323906,2.0,2.5,,
8325506,1.5,3.0,,
13032306,3.0,2.5,2.0,3.0
8336106,2.0,2.0,,
13500506,2.0,2.0,,
8341306,1.5,3.0,,
8326606,2.0,1.5,,
8338306,2.5,2.0,,
8328706,1.5,1.0,,
7904706,3.0,3.0,,
9981706,2.5,3.0,,
8325906,2.5,2.5,,
14793406,2.0,2.5,,
7956506,2.0,2.5,,
8326206,2.0,2.5,,
8337406,,4.0,,
9245906,2.0,3.0,,
8328006,1.5,3.0,,
9979606,1.5,1.5,,
8338906,1.0,1.5,,
8333906,2.5,3.0,,
8333806,1.0,2.0,,
8345306,,4.0,,
8346006,4.0,2.5,,
14289006,2.5,2.5,4.0,
15644106,2.5,2.5,1.5,
8345606,2.5,2.5,,
8336506,,4.0,,
11645906,4.0,2.5,4.0,2.5
16693206,3.0,2.5,2.0,2.5
8331806,3.0,2.0,,
13030806,4.0,4.0,,
9244006,,4.0,,
8325006,2.0,2.5,,
8372606,1.5,2.0,,
8332706,2.5,2.0,,
9983306,1.5,2.5,,
7862306,2.0,3.0,,
9236806,,4.0,,
8342906,,4.0,,
8325706,1.0,2.0,,
8339206,1.5,2.5,,
8326406,2.5,2.0,,
5421206,1.5,3.0,,
9978806,,4.0,,
7862206,2.5,2.5,,
8337706,2.5,2.0,,
8329906,1.5,2.5,,
8330206,,4.0,,
8341006,2.5,2.5,,
9252306,,4.0,,
9232606,2.0,2.5,,
9241106,1.0,2.0,,
9235706,2.5,4.0,,
8330806,,4.0,,
8344306,2.0,2.0,,
11648006,,3.0,,
9979306,2.0,2.5,,
8329006,1.5,2.0,,
9238106,1.5,2.0,,
7862506,1.5,1.5,,
9982706,2.5,3.0,,
8337206,1.5,1.5,,
11651806,4.0,3.0,,3.0
8332006,1.5,1.5,,
8344106,,4.0,,
9245606,2.0,3.0,,
8327106,1.5,2.5,,
8325106,4.0,3.0,,
9236306,3.0,3.0,,
8329206,2.5,2.0,,
8333506,2.5,3.0,,
8337606,1.0,1.0,,
8344206,,4.0,,
11645406,,4.0,,
13030406,4.0,4.0,,
8374306,1.5,2.5,,
9247206,1.5,2.5,,
8342506,2.0,2.0,,
9237006,2.0,3.0,,
8341806,2.0,1.5,,
8329106,2.0,2.5,,
8327706,2.5,2.0,,
9250406,2.0,3.0,,
8334006,1.0,2.5,,
9980406,3.0,3.0,,
9254906,2.5,2.5,,
8327206,2.5,3.0,,
8341106,2.5,2.5,,
11658406,2.0,3.0,,
9232006,,4.0,,
9241006,,4.0,,
9246406,,4.0,,
8372806,,4.0,,
8340006,,4.0,,
8339406,2.0,2.0,,
8373206,2.5,2.5,,
8329506,4.0,,,
8373306,1.5,3.0,,
4009706,,,,
4009906,,,,
8336706,4.0,4.0,,
4010306,4.0,3.0,,
4011406,,,,
4011906,2.0,3.0,,
4012406,1.5,3.0,,
4013106,2.0,3.0,,
4013706,2.0,2.0,,
4014506,,,,
4014606,2.5,2.5,,
4015206,2.5,3.0,,
4015906,,,,
4016406,,,,
4017006,4.0,4.0,,
4017506,,,,
4018306,,4.0,,
8337506,3.0,2.5,,
8337906,2.5,2.0,,
8338406,,4.0,,
9246606,2.0,2.5,,
8342206,2.0,2.0,,
8334206,2.0,2.5,,
8372706,2.5,3.0,,
9248806,2.0,2.5,,
8338606,3.0,3.0,,
8326306,2.5,2.0,,
8325606,,4.0,,
9237206,2.5,3.0,,
13028306,2.5,3.0,2.0,2.5
8343606,4.0,4.0,,
8373806,2.0,3.0,,
8344506,3.0,2.5,,
8335106,2.0,2.5,,
8323406,2.0,1.5,,
8342006,2.0,2.5,,
11646506,,4.0,,
8336606,4.0,2.5,,
13019706,2.0,2.5,2.0,3.0
7862106,4.0,4.0,,
9986506,4.0,4.0,,
15640106,2.0,1.5,2.0,3.0
13024306,4.0,4.0,2.0,4.0
8335206,2.0,2.0,,
8331906,2.5,2.5,,
11653806,1.0,3.0,1.5,2.5
7862406,2.0,3.0,,
8374406,1.5,2.0,,
9235806,1.5,2.0,,
11656306,2.5,2.5,,
8324606,2.5,3.0,,
6818206,3.0,2.5,,
8324306,2.5,3.0,,
8335006,,4.0,,
8337106,2.0,3.0,,
8342706,1.5,2.0,,
8328206,2.5,2.0,,
8324906,1.0,2.0,,
4372606,,,,
4099306,,,,
6806806,1.5,2.0,,
9244706,2.5,3.0,,
8373706,2.5,2.5,,
7957006,2.0,2.0,,
8373606,,,,
11654806,1.5,2.5,,
14304906,1.5,1.5,1.5,2.0
11649106,,4.0,,
11647506,2.0,3.0,,
9242506,2.5,2.0,,
9248706,1.5,2.5,,
9980906,1.5,2.5,,
11654706,,4.0,,
11656106,,4.0,,
9980306,2.5,3.0,,
9240006,2.0,2.5,,
12237106,,4.0,,
11651106,1.5,2.5,1.5,
12234006,,4.0,,
9980606,,4.0,,
11642806,2.0,2.5,,
9241906,1.0,1.5,,
9247106,,4.0,,
9240606,2.0,2.0,,
9243506,2.5,2.0,,
9978406,,4.0,,
11644106,,4.0,,
9236006,1.5,2.5,,
14247606,1.5,2.5,4.0,
9231306,1.5,2.0,,
9239906,2.0,3.0,,
14248706,2.0,2.5,2.0,
11644306,2.0,2.5,2.0,
16691606,,,,
15628406,2.5,2.5,2.0,
9613906,2.5,2.5,,
9978606,2.0,2.0,,
9238006,1.5,2.5,,
13035906,4.0,2.0,,
9236606,4.0,2.0,,
11644806,1.5,2.5,,2.5
9243306,2.0,2.0,,
9249106,1.5,2.5,,
9239006,1.0,1.5,,
9241306,2.5,3.0,,
9245506,2.0,2.5,,
9232106,4.0,4.0,,
14792906,1.5,2.0,2.0,3.0
9979006,1.0,1.5,,
9231606,1.5,2.5,,
13017506,2.0,3.0,2.0,3.0
9231206,,,,
11645606,4.0,4.0,,
9250506,2.5,2.5,,
9238306,1.5,3.0,,
9979206,2.0,3.0,,
13019306,2.0,2.5,2.0,2.0
9236506,2.0,1.5,,
11646606,2.0,3.0,,
11646706,2.5,3.0,,
9242406,1.5,1.5,,
9231806,1.5,1.5,,
9242806,,4.0,,
11647206,1.5,2.0,1.5,
13499106,4.0,4.0,,
9979706,2.0,3.0,,
11647606,2.0,2.5,,2.5
9243706,2.5,2.0,,
9231706,2.5,3.0,,
11647906,2.0,2.5,,
9979806,2.5,2.5,,
9240306,1.5,2.0,,
13036806,4.0,4.0,,
9243206,4.0,3.0,,
9980006,1.5,3.0,,
9235306,2.0,2.0,,
9241506,1.5,1.5,,
16695206,1.5,2.0,,
15638606,1.5,2.0,,
9239206,1.5,2.0,,
9760606,2.0,2.5,,
9240106,2.5,2.5,,
13030906,2.5,2.5,,
9980206,2.5,2.5,,
9241606,2.0,2.5,4.0,
11650406,4.0,3.0,,
9239306,2.0,2.5,,
9980706,4.0,2.5,,
13499906,2.0,2.5,2.0,2.5
9980806,,1.5,,
