studium_id,typ_programu,forma_studia,datum_zahajeni,datum_ukonceni,rocnik,studijni_stav,studuje,jazyk_vyuky,ukonceni_zpusob,rok_maturity,odkud_skola_kod
12986506,B,P,2016,2017,1.0,7,K,CS,3.0,2015,401021
13008706,B,P,2016,2017,1.0,3,K,CS,2.0,2016,47274620
12969906,B,P,2016,2017,1.0,3,K,CS,2.0,2015,999999398
13007506,B,P,2016,2017,2.0,7,K,CS,3.0,2016,497070
13006506,B,P,2016,2018,2.0,3,K,CS,2.0,2016,60162961
13011706,B,P,2016,2018,2.0,17,K,CS,1.0,2014,583839
12958206,B,P,2016,2017,1.0,3,K,CS,2.0,2016,60650443
12990706,B,P,2016,2017,1.0,3,K,CS,2.0,2016,108003868
13006206,B,P,2016,2017,2.0,3,K,CS,2.0,2016,102244928
13007106,B,P,2016,2019,3.0,17,K,CS,1.0,2015,102266247
12963606,B,P,2016,2018,2.0,7,K,CS,3.0,2013,600007847
12969506,B,P,2016,2017,2.0,3,K,CS,2.0,2016,42797942
13005306,B,P,2016,2017,2.0,7,K,CS,3.0,2015,48342912
13005806,B,P,2016,2017,1.0,7,K,CS,3.0,2016,110025580
12956706,B,P,2016,2017,2.0,3,K,CS,2.0,2016,666122
13006006,B,P,2016,2017,1.0,7,K,CS,3.0,2016,602159
12956106,B,P,2016,2017,2.0,7,K,CS,3.0,2016,61924041
12988706,B,P,2016,2018,2.0,3,K,CS,2.0,2015,999999643
13005406,B,P,2016,2017,2.0,3,K,CS,2.0,2015,842753
12955906,B,P,2016,2017,2.0,7,K,CS,3.0,2016,108001491
12986106,B,P,2016,2017,1.0,7,K,CS,3.0,2016,108007014
13008206,B,P,2016,2019,3.0,17,K,CS,1.0,2016,108052958
12963106,B,P,2016,2017,1.0,3,K,CS,2.0,2013,600020380
12956506,B,P,2016,2019,3.0,17,K,CS,1.0,2016,72753
12957306,B,P,2016,2018,3.0,7,K,CS,3.0,2015,63109026
12955406,B,P,2016,2017,2.0,3,K,CS,2.0,2015,999999804
13012206,B,P,2016,2017,2.0,3,K,CS,2.0,2016,999999703
12970106,B,P,2016,2017,1.0,3,K,CS,2.0,2013,47558504
13006106,B,P,2016,2017,1.0,3,K,CS,2.0,2016,61388866
13010206,B,P,2016,2017,1.0,7,K,CS,3.0,2015,999999804
12987706,B,P,2016,2017,1.0,3,K,CS,2.0,2010,108001491
12958306,B,P,2016,2017,1.0,3,K,CS,2.0,2016,68870
13008006,B,P,2016,2017,1.0,7,K,CS,3.0,2016,999999703
13007206,B,P,2016,2017,1.0,7,K,CS,3.0,2016,82201
12968106,B,P,2016,2018,3.0,3,K,CS,2.0,2016,49625446
12956306,B,P,2016,2017,2.0,7,K,CS,3.0,2016,14891221
13009906,B,P,2016,2017,2.0,7,K,CS,3.0,2016,69019
12987106,B,P,2016,2018,3.0,17,K,CS,1.0,2012,999999703
12961306,B,P,2016,2018,3.0,7,K,CS,3.0,2016,61385701
12967906,B,P,2016,2017,1.0,3,K,CS,2.0,2011,108054063
13005606,B,P,2016,2017,1.0,3,K,CS,2.0,2015,999999398
13008906,B,P,2016,2017,1.0,3,K,CS,2.0,2016,638200
13007006,B,P,2016,2018,2.0,3,K,CS,2.0,2013,48342912
12960306,B,P,2016,2018,2.0,3,K,CS,2.0,2016,638188
12986006,B,P,2016,2018,2.0,3,K,CS,2.0,2016,601501
12958906,B,P,2016,2018,2.0,17,K,CS,1.0,2013,49625446
13010306,B,P,2016,2017,1.0,7,K,CS,3.0,2014,999999643
12994906,B,P,2016,2017,1.0,3,K,CS,2.0,2016,61388866
12966106,B,P,2016,2019,3.0,17,K,CS,1.0,2016,15062848
13006806,B,P,2016,2018,2.0,7,K,CS,3.0,2016,61388866
13006606,B,P,2016,2017,1.0,3,K,CS,2.0,2016,60784024
13008106,B,P,2016,2017,1.0,3,K,CS,2.0,2016,81931
12958106,B,P,2016,2017,1.0,3,K,CS,2.0,2016,999999703
11671106,B,K,2015,2016,1.0,7,K,CS,3.0,2012,14613280
9255006,B,P,2014,2017,3.0,17,K,CS,1.0,2013,0
9224406,B,P,2014,2018,4.0,17,K,CS,1.0,2014,49232886
9191106,B,P,2014,2017,3.0,17,K,CS,1.0,2014,81868
9191606,B,P,2014,2015,1.0,3,K,CS,2.0,2014,999999703
9673206,B,P,2014,2015,1.0,7,K,CS,3.0,2014,999999703
9672606,B,P,2014,2015,1.0,7,K,CS,3.0,2014,49625446
11669606,B,K,2015,2016,1.0,7,K,CS,3.0,2014,600020398
9674106,B,K,2014,2015,1.0,7,K,CS,3.0,2010,600008991
11670806,B,K,2015,2016,1.0,7,K,CS,3.0,2009,600015301
9673006,B,P,2014,2015,1.0,7,K,CS,3.0,2014,68837
9672806,B,P,2014,2016,2.0,7,K,CS,3.0,2014,82091
9673806,B,K,2014,2017,4.0,7,K,CS,3.0,2000,61357235
11671406,B,K,2015,2016,1.0,7,K,CS,3.0,2014,61386855
11669006,B,K,2015,2015,1.0,3,K,CS,2.0,1997,555555555
9191706,B,P,2014,2018,4.0,3,K,CS,2.0,2014,49625446
9672306,B,P,2014,2015,1.0,7,K,CS,3.0,2014,61924041
11668806,B,P,2015,2016,1.0,7,K,CS,3.0,2013,76970
11671706,B,K,2015,2016,1.0,7,K,CS,3.0,2013,600004546
