studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,pocet_kreditu_semestr_1,BI-PA2_znamka,BI-PA2_poradi_zapisu,BI-DBS_znamka,BI-DBS_poradi_zapisu,BI-SAP_znamka,BI-SAP_poradi_zapisu,BI-LIN_znamka,BI-LIN_poradi_zapisu,pocet_kreditu_semestr_2,BI-AAG_znamka,BI-AAG_poradi_zapisu,BI-ZDM_znamka,BI-ZDM_poradi_zapisu,BI-AG1_znamka,BI-AG1_poradi_zapisu,pocet_kreditu_semestr_3
17333306,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.5,1.0,19.0,-1.0,-1.0,1.0,1.0,2.5,1.0,2.0,1.0,14.0,4.0,1.0,1.5,1.0,4.0,1.0,16.0
11739206,1.0,2.0,1.0,2.5,1.0,1.5,1.0,3.0,2.0,1.5,1.0,1.0,1.0,25.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,1.0,1.5,1.0,1.5,1.0,26.0
11698306,0.0,2.0,1.0,3.0,1.0,1.5,1.0,2.0,1.0,2.0,1.0,2.5,2.0,27.0,2.5,1.0,2.5,1.0,1.0,1.0,4.0,1.0,19.0,1.5,1.0,2.5,1.0,-1.0,-1.0,11.0
11712506,1.0,2.5,1.0,2.0,1.0,1.5,1.0,2.0,1.0,2.5,1.0,2.0,1.0,21.0,3.0,1.0,1.5,1.0,2.5,1.0,4.0,1.0,22.0,-1.0,-1.0,2.5,1.0,-1.0,-1.0,19.0
11726106,0.0,2.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,4.0,1.0,24.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,16.0,4.0,1.0,4.0,1.0,4.0,1.0,12.0
14811406,0.0,1.5,2.0,1.5,1.0,2.5,1.0,1.0,1.0,2.5,1.0,4.0,1.0,24.0,2.0,1.0,1.5,1.0,2.5,1.0,4.0,1.0,25.0,4.0,1.0,4.0,1.0,4.0,1.0,16.0
11714506,1.0,3.0,2.0,2.5,1.0,1.5,1.0,3.0,1.0,2.5,1.0,2.0,1.0,21.0,4.0,1.0,2.5,1.0,2.5,1.0,4.0,1.0,16.0,4.0,1.0,4.0,1.0,4.0,1.0,15.0
11709806,1.0,2.5,1.0,2.5,1.0,1.5,1.0,2.5,1.0,3.0,1.0,2.5,1.0,20.0,2.5,1.0,4.0,1.0,1.0,1.0,2.5,1.0,22.0,4.0,1.0,2.5,2.0,2.5,1.0,24.0
11701706,0.0,2.5,1.0,3.0,1.0,1.5,1.0,2.5,1.0,2.5,1.0,3.0,1.0,37.0,2.5,1.0,-1.0,-1.0,2.5,1.0,4.0,1.0,22.0,3.0,1.0,-1.0,-1.0,4.0,1.0,18.0
14246906,0.0,2.5,1.0,2.5,1.0,1.5,1.0,2.5,1.0,2.5,1.0,2.5,2.0,38.0,2.5,1.0,2.0,1.0,2.5,1.0,3.0,1.0,22.0,-1.0,-1.0,2.5,1.0,-1.0,-1.0,6.0
11740406,0.0,2.5,1.0,3.0,1.0,1.5,1.0,2.5,1.0,2.5,2.0,2.0,1.0,19.0,3.0,1.0,-1.0,-1.0,2.5,1.0,-1.0,-1.0,25.0,4.0,1.0,4.0,1.0,4.0,1.0,9.0
12991006,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,25.0,4.0,1.0,2.5,1.0,2.0,1.0,4.0,1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0
11727606,0.0,2.0,1.0,3.0,1.0,1.5,1.0,4.0,2.0,2.5,1.0,2.0,1.0,30.0,4.0,1.0,2.5,1.0,1.0,1.0,4.0,1.0,11.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
11697206,1.0,1.5,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.0,29.0,1.5,1.0,2.0,1.0,1.5,1.0,2.5,1.0,33.0,2.5,1.0,2.0,1.0,-1.0,-1.0,29.0
11713806,1.0,1.5,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,2.0,1.0,2.5,1.0,1.5,1.0,26.0,2.5,1.0,1.0,1.0,1.5,1.0,25.0
11681906,0.0,3.0,1.0,3.0,1.0,1.5,1.0,3.0,2.0,2.5,1.0,2.5,1.0,25.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,16.0,4.0,1.0,4.0,1.0,2.5,1.0,15.0
14277206,1.0,3.0,1.0,2.5,1.0,1.5,1.0,3.0,1.0,2.5,1.0,2.5,1.0,23.0,4.0,1.0,2.5,1.0,3.0,1.0,2.5,1.0,19.0,2.5,2.0,-1.0,-1.0,2.5,1.0,23.0
11681606,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.5,1.0,31.0,3.0,1.0,2.5,1.0,1.0,1.0,4.0,1.0,23.0,4.0,1.0,2.0,1.0,4.0,1.0,20.0
11696006,0.0,2.5,1.0,3.0,1.0,1.5,1.0,2.5,2.0,1.5,2.0,3.0,1.0,20.0,4.0,1.0,2.5,1.0,3.0,1.0,4.0,1.0,21.0,4.0,1.0,4.0,1.0,4.0,1.0,14.0
12954406,1.0,2.0,1.0,2.5,1.0,1.5,1.0,2.0,1.0,2.0,1.0,2.5,1.0,33.0,2.5,1.0,2.5,1.0,2.5,1.0,4.0,1.0,13.0,-1.0,-1.0,2.5,1.0,-1.0,-1.0,30.0
11680506,1.0,2.0,1.0,2.5,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.5,1.0,28.0,2.5,1.0,-1.0,-1.0,2.5,1.0,4.0,1.0,16.0,3.0,1.0,-1.0,-1.0,4.0,1.0,24.0
12974306,0.0,2.5,1.0,2.0,1.0,1.5,1.0,3.0,1.0,2.5,1.0,2.0,1.0,32.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,24.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0,18.0
11710206,1.0,3.0,1.0,2.5,1.0,1.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,28.0,1.0,1.0,2.0,1.0,1.0,1.0,2.5,1.0,33.0,3.0,1.0,2.0,2.0,1.5,1.0,23.0
12031806,0.0,2.5,1.0,2.0,1.0,1.5,1.0,3.0,1.0,2.0,1.0,2.5,1.0,21.0,2.5,1.0,2.0,1.0,2.0,1.0,4.0,1.0,26.0,4.0,2.0,2.5,1.0,-1.0,-1.0,20.0
13015206,0.0,2.5,1.0,2.0,1.0,1.5,1.0,1.0,1.0,2.0,1.0,4.0,2.0,17.0,1.5,1.0,2.0,1.0,2.0,1.0,4.0,1.0,15.0,4.0,2.0,4.0,2.0,4.0,2.0,0.0
11712806,1.0,2.5,1.0,2.0,1.0,1.5,1.0,1.5,1.0,2.5,1.0,2.5,1.0,30.0,-1.0,-1.0,2.5,1.0,3.0,1.0,2.0,1.0,30.0,2.5,1.0,2.5,1.0,2.0,1.0,23.0
11685106,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,30.0,4.0,1.0,1.5,1.0,1.5,1.0,2.5,1.0,23.0,4.0,1.0,2.5,1.0,4.0,1.0,5.0
11699506,0.0,2.0,1.0,2.5,1.0,1.5,1.0,2.5,1.0,1.5,1.0,2.0,1.0,35.0,2.5,1.0,2.5,1.0,1.0,1.0,4.0,1.0,14.0,-1.0,-1.0,2.5,1.0,-1.0,-1.0,17.0
13011306,1.0,2.5,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.5,2.0,4.0,1.0,19.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,19.0,4.0,1.0,4.0,1.0,4.0,1.0,15.0
11695506,0.0,3.0,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,20.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,12.0,4.0,1.0,4.0,1.0,4.0,1.0,0.0
13520206,1.0,2.5,1.0,1.5,1.0,1.5,1.0,3.0,1.0,3.0,1.0,3.0,1.0,30.0,4.0,1.0,2.5,1.0,3.0,1.0,4.0,1.0,12.0,2.5,1.0,2.5,1.0,2.5,1.0,21.0
11695006,1.0,2.5,1.0,2.5,1.0,1.0,1.0,2.5,1.0,2.0,1.0,2.5,1.0,27.0,2.5,1.0,2.0,1.0,2.5,1.0,4.0,1.0,16.0,-1.0,-1.0,4.0,1.0,3.0,1.0,25.0
12979306,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,30.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,35.0,2.5,1.0,1.0,1.0,1.5,1.0,26.0
12035306,1.0,2.5,1.0,2.0,1.0,1.0,1.0,2.5,1.0,2.0,1.0,1.5,1.0,29.0,2.5,1.0,2.0,1.0,1.5,1.0,2.0,1.0,34.0,1.5,1.0,-1.0,-1.0,1.5,1.0,30.0
11715406,0.0,3.0,1.0,3.0,1.0,1.5,1.0,4.0,2.0,2.0,1.0,2.5,1.0,34.0,4.0,1.0,2.5,1.0,2.0,1.0,2.5,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
11689006,1.0,3.0,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.0,1.0,2.5,1.0,17.0,2.5,1.0,2.5,1.0,2.5,1.0,4.0,1.0,21.0,2.5,1.0,2.5,1.0,4.0,1.0,27.0
12990906,1.0,1.5,1.0,2.0,1.0,1.5,1.0,1.5,1.0,2.0,1.0,2.5,1.0,16.0,2.5,1.0,2.5,1.0,2.0,1.0,2.0,1.0,21.0,2.0,1.0,-1.0,-1.0,2.0,1.0,22.0
14809406,1.0,2.5,1.0,2.0,1.0,1.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,16.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,18.0,2.5,2.0,-1.0,-1.0,-1.0,-1.0,19.0
11741806,0.0,2.5,1.0,2.0,1.0,1.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,27.0,3.0,1.0,-1.0,-1.0,4.0,1.0,4.0,1.0,16.0,4.0,1.0,4.0,1.0,4.0,1.0,12.0
11678506,1.0,2.5,1.0,2.0,1.0,1.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,30.0,3.0,1.0,2.5,1.0,2.0,1.0,3.0,1.0,26.0,2.0,1.0,2.5,1.0,2.5,1.0,30.0
12986206,1.0,3.0,1.0,4.0,1.0,1.5,1.0,4.0,1.0,3.0,1.0,2.0,1.0,22.0,4.0,1.0,2.5,1.0,2.5,1.0,3.0,1.0,19.0,3.0,1.0,2.5,1.0,2.5,1.0,26.0
14801606,0.0,2.5,1.0,2.5,1.0,1.5,1.0,3.0,1.0,2.5,1.0,2.0,1.0,31.0,3.0,1.0,-1.0,-1.0,2.5,1.0,4.0,1.0,18.0,3.0,1.0,2.0,1.0,4.0,1.0,25.0
13011406,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.5,1.0,25.0,2.0,1.0,2.0,1.0,2.5,1.0,4.0,1.0,22.0,-1.0,-1.0,3.0,2.0,-1.0,-1.0,23.0
14240606,1.0,3.0,1.0,2.5,1.0,2.0,1.0,3.0,1.0,1.5,1.0,2.5,1.0,23.0,4.0,1.0,2.5,1.0,2.0,1.0,-1.0,-1.0,15.0,2.5,1.0,2.5,1.0,2.5,1.0,23.0
13515906,1.0,2.0,1.0,2.5,1.0,1.0,1.0,2.5,2.0,2.5,1.0,2.0,1.0,22.0,4.0,1.0,2.5,1.0,1.0,1.0,2.0,1.0,35.0,-1.0,-1.0,-1.0,-1.0,4.0,2.0,37.0
11734106,0.0,2.5,1.0,2.5,1.0,1.5,1.0,3.0,1.0,2.0,1.0,2.5,1.0,26.0,4.0,1.0,-1.0,-1.0,3.0,1.0,4.0,1.0,14.0,4.0,1.0,4.0,1.0,4.0,1.0,0.0
12998206,0.0,2.0,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.5,1.0,39.0,2.0,1.0,1.5,1.0,1.5,1.0,2.0,1.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0
11717706,1.0,2.0,1.0,2.5,1.0,1.5,1.0,1.0,1.0,2.5,1.0,2.5,1.0,19.0,2.5,1.0,2.5,2.0,2.5,1.0,2.5,1.0,28.0,-1.0,-1.0,2.5,2.0,4.0,1.0,22.0
11683906,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.5,1.0,4.0,1.0,18.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,12.0,3.0,1.0,4.0,1.0,4.0,1.0,24.0
15590806,0.0,2.5,1.0,2.5,1.0,1.5,1.0,3.0,1.0,2.5,1.0,2.5,1.0,21.0,2.5,1.0,-1.0,-1.0,2.5,1.0,2.5,1.0,15.0,2.0,1.0,-1.0,-1.0,4.0,1.0,20.0
12030306,1.0,2.0,1.0,3.0,1.0,2.5,1.0,2.0,1.0,2.0,1.0,2.5,1.0,26.0,2.5,1.0,3.0,1.0,1.0,1.0,4.0,1.0,19.0,2.0,1.0,2.0,1.0,2.0,1.0,26.0
14799206,0.0,1.5,1.0,2.0,1.0,1.5,1.0,1.5,1.0,2.5,1.0,2.5,1.0,41.0,4.0,1.0,2.5,1.0,2.0,1.0,3.0,1.0,26.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,0.0
