studium_id,dokoncil_semestr,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti
12974306,1.0,0,1,2016,2013,3,1,1,0,0,0,0
11710206,1.0,0,1,2015,2013,2,0,1,0,0,0,0
15579306,0.0,0,1,2018,2013,5,1,0,0,0,0,0
12031806,1.0,0,1,2015,2013,2,1,0,0,0,0,0
14298606,0.0,0,1,2017,2013,4,1,0,0,0,0,0
11719406,0.0,0,1,2015,2013,2,1,0,0,0,0,0
13015206,1.0,0,1,2016,2013,3,1,1,0,0,0,0
11712806,1.0,0,1,2015,2013,2,0,1,0,0,0,0
15563206,1.0,0,1,2018,2013,5,1,1,0,0,0,0
11685106,1.0,0,1,2015,2013,2,1,1,0,0,0,0
11699506,1.0,0,1,2015,2013,2,0,0,0,0,0,0
13011306,1.0,0,0,2016,2013,3,0,1,0,0,0,0
11695506,1.0,0,1,2015,2013,2,0,1,0,0,0,0
11715206,0.0,0,0,2015,2013,2,0,2,0,0,0,0
11709006,0.0,0,1,2015,2013,2,1,0,0,0,0,0
13520206,1.0,0,1,2016,2013,3,1,0,0,0,0,0
11695006,1.0,0,1,2015,2013,2,0,0,0,0,0,0
13012406,0.0,0,1,2016,2013,3,0,0,0,0,0,0
14318306,0.0,0,1,2017,2013,4,0,0,0,0,0,0
15556106,0.0,0,1,2018,2013,5,1,0,0,0,0,0
18607606,0.0,0,1,2020,2013,7,1,0,1,1,0,0
12979306,1.0,0,1,2016,2015,1,0,0,0,0,0,0
12964106,0.0,0,1,2016,2013,3,1,0,0,0,0,0
12035306,1.0,0,1,2015,2013,2,1,0,0,0,0,0
14806206,0.0,0,1,2017,2013,4,1,0,0,0,0,0
11715406,1.0,0,1,2015,2013,2,1,0,0,0,0,0
11044406,0.0,0,1,2015,2013,2,1,0,1,0,0,0
11689006,1.0,0,1,2015,2013,2,1,0,0,0,0,0
11746306,0.0,0,1,2015,2013,2,1,0,0,0,0,0
14286406,0.0,0,0,2017,2012,5,0,1,0,0,0,0
16188606,0.0,0,1,2018,2013,5,1,0,0,0,0,0
13007006,0.0,0,1,2016,2013,3,1,0,0,0,0,0
11709706,0.0,0,1,2015,2013,2,1,0,0,0,0,0
12990906,1.0,0,1,2016,2013,3,1,0,0,0,0,0
11741806,1.0,0,1,2015,2013,2,0,0,0,0,0,0
14809406,1.0,0,1,2017,2013,4,0,0,0,0,0,0
11729506,0.0,0,1,2015,2012,3,1,0,0,0,0,0
11678506,1.0,0,1,2015,2015,0,1,1,0,0,0,0
11707406,1.0,0,1,2015,2013,2,0,0,0,0,0,0
11701106,0.0,0,1,2015,2013,2,1,0,0,0,0,0
11720006,0.0,0,0,2015,2013,2,0,1,0,0,0,0
12985106,0.0,0,0,2016,2013,3,0,1,0,0,0,0
12986206,1.0,0,0,2016,2013,3,0,2,0,0,0,0
11746006,0.0,0,1,2015,2014,1,1,0,0,0,0,0
12989806,0.0,0,1,2016,2014,2,1,0,0,0,0,0
11731406,0.0,0,1,2015,2014,1,0,0,0,0,0,0
13015406,0.0,0,1,2016,2014,2,1,0,0,0,0,0
14801606,1.0,0,1,2017,2014,3,1,0,0,0,0,0
12035606,0.0,0,1,2015,2014,1,1,1,0,0,0,0
11718406,0.0,1,0,2015,2013,2,0,2,0,0,0,0
13011406,1.0,0,1,2016,2014,2,0,1,0,0,0,0
12034806,0.0,0,1,2015,2014,1,0,0,0,0,0,0
14240606,1.0,0,0,2017,2012,5,0,2,0,0,0,0
12989906,0.0,1,0,2016,2004,12,0,2,0,0,0,0
11692806,0.0,0,0,2015,2013,2,0,2,0,0,0,0
11709406,0.0,0,1,2015,2014,1,1,1,0,0,0,0
13515906,1.0,0,1,2016,2014,2,1,0,0,0,0,0
11680906,0.0,1,0,2015,2013,2,0,2,0,0,0,0
11692306,0.0,0,0,2015,2014,1,0,2,0,0,0,0
14809606,1.0,0,1,2017,2014,3,1,1,0,0,0,0
11687006,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11732806,1.0,0,1,2015,2013,2,0,1,0,0,0,0
14799406,0.0,0,1,2017,2013,4,0,1,0,0,0,0
11734106,1.0,0,1,2015,2014,1,1,1,0,0,0,0
11712406,0.0,0,1,2015,2014,1,1,0,0,0,0,0
12998206,1.0,0,1,2016,2014,2,1,0,0,0,0,0
11701406,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11735506,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11717706,1.0,0,0,2015,2011,4,0,2,0,0,0,0
12959106,1.0,0,1,2016,2014,2,1,0,0,0,0,0
15590606,1.0,0,1,2018,2014,4,1,0,0,0,0,0
11683906,1.0,0,1,2015,2014,1,1,0,0,0,0,0
13515506,1.0,0,1,2016,2014,2,1,1,0,0,0,0
14319806,0.0,0,0,2017,2014,3,0,2,0,0,0,0
