semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B181,1121506,16185606,Z,,4.0,1
B181,1121506,16184506,Z,,4.0,1
B181,1121506,16194306,Z,1.0,2.5,1
B181,1121506,16187306,,,4.0,1
B181,1121506,16194606,,,4.0,1
B181,1121506,16182806,Z,1.0,3.0,1
B181,1121506,16191006,,,4.0,1
B181,1121506,16186206,,,4.0,1
B181,1121506,16192306,,,4.0,1
B181,1121506,16195406,Z,1.0,2.0,1
B181,1121506,16192406,Z,1.0,3.0,1
B181,1121506,16195306,Z,1.0,3.0,1
B181,1121506,16192906,Z,,4.0,1
B181,1121506,16194506,,,4.0,1
B181,1121506,16192706,Z,,4.0,1
B181,1121506,16195506,Z,1.0,2.5,1
B181,1121506,16188506,Z,1.0,3.0,1
B181,1121506,16194206,Z,1.0,2.5,1
B181,1121506,16191106,Z,1.0,2.5,1
B181,1121506,16185306,,,4.0,1
B181,1121506,16192606,,,4.0,1
B181,1121506,16193406,Z,,4.0,1
B181,1121506,16190206,,,4.0,1
B181,1121506,16192006,,,4.0,1
B181,1121506,16193506,,,4.0,1
B181,1121506,16183306,,,4.0,1
B181,1121506,16185006,,,4.0,1
B191,1121506,16713806,Z,1.0,2.5,1
B191,1121506,16713906,Z,1.0,2.0,1
B191,1121506,16714006,Z,1.0,3.0,1
B191,1121506,16714206,Z,1.0,2.5,1
B191,1121506,16714406,,,4.0,1
B191,1121506,16714506,Z,1.0,3.0,1
B191,1121506,16714606,Z,1.0,3.0,1
B191,1121506,16714706,Z,1.0,1.0,1
B191,1121506,16714806,,,4.0,1
B191,1121506,16714906,Z,1.0,1.0,1
B191,1121506,16715006,Z,1.0,1.5,1
B191,1121506,16715106,,,4.0,1
B191,1121506,16715206,Z,1.0,2.0,1
B191,1121506,16715306,,,4.0,1
B191,1121506,16715506,Z,1.0,2.0,1
B191,1121506,16715606,,,4.0,1
B191,1121506,16715806,Z,1.0,2.5,1
B191,1121506,16716006,Z,1.0,1.5,1
B191,1121506,16716106,Z,1.0,1.0,1
B191,1121506,16716206,,,4.0,1
B191,1121506,16716306,,,4.0,1
B191,1121506,16716406,Z,1.0,1.0,1
B191,1121506,16716506,Z,1.0,2.0,1
B191,1121506,16716606,,,4.0,1
B191,1121506,16716906,Z,1.0,1.5,1
B191,1121506,16713706,,,4.0,1
B191,1121506,16730206,Z,1.0,2.5,1
B191,1121506,16713606,,,4.0,1
B191,1121506,16713406,Z,1.0,3.0,1
B181,1121506,16184706,,,4.0,1
B181,1121506,16190406,Z,1.0,1.0,1
B181,1121506,14245206,Z,,4.0,1
B181,1121506,16216606,,,4.0,1
B191,1121506,16710806,,,4.0,1
B191,1121506,16710906,,,4.0,1
B191,1121506,16774206,,,4.0,1
B191,1121506,16711006,Z,1.0,1.0,1
B191,1121506,16711106,,,4.0,1
B191,1121506,16711206,Z,,,1
B191,1121506,16711306,,,4.0,1
B191,1121506,16711406,Z,1.0,1.5,1
B191,1121506,16711506,Z,1.0,2.0,1
B191,1121506,16711606,Z,1.0,2.0,1
B191,1121506,16711806,N,,4.0,1
B191,1121506,16712006,Z,,4.0,1
B191,1121506,16712106,Z,1.0,1.0,1
B191,1121506,16712306,Z,1.0,2.5,1
B191,1121506,16712406,,,4.0,1
B191,1121506,16712706,,,4.0,1
B191,1121506,16712806,,,4.0,1
B191,1121506,16713006,,,4.0,1
B191,1121506,16713106,Z,1.0,1.5,1
B191,1121506,16713206,Z,1.0,2.5,1
