semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B121,1435206,5403406,1,1.0,2.0,1
B121,1435206,5412006,0,0.0,4.0,1
B121,1435206,5402106,1,1.0,2.0,1
B121,1435206,5411406,1,1.0,1.5,1
B121,1435206,5408806,0,0.0,4.0,1
B121,1435206,5405406,1,1.0,3.0,1
B121,1435206,5413406,0,0.0,4.0,1
B121,1435206,5410006,1,1.0,1.0,1
B121,1435206,5405306,0,0.0,4.0,1
B121,1435206,5411006,1,1.0,1.5,1
B101,1431406,4014406,1,1.0,3.0,1
B121,1435206,5414906,1,1.0,1.0,1
B121,1435206,5415706,1,1.0,1.0,1
B111,1435206,4015006,1,1.0,2.0,1
B111,1435206,3295706,1,1.0,3.0,1
B111,1435206,4014006,0,0.0,4.0,1
B111,1435206,3688306,1,1.0,1.5,1
B111,1435206,3686106,0,0.0,4.0,1
B111,1435206,3684106,0,0.0,4.0,1
B111,1435206,4015406,0,0.0,4.0,1
B111,1435206,4012206,0,0.0,4.0,1
B111,1435206,3691106,1,1.0,2.0,1
B111,1435206,4017806,1,1.0,1.0,1
B111,1435206,3684806,1,1.0,2.0,1
B111,1435206,3690506,0,0.0,4.0,1
B111,1435206,3683106,1,1.0,1.0,1
B111,1435206,3685206,1,1.0,1.0,1
B111,1435206,3684506,0,0.0,4.0,1
B111,1435206,3689906,1,1.0,1.0,1
B111,1435206,3692706,0,0.0,4.0,1
B111,1435206,3691306,1,1.0,2.5,1
B111,1435206,3686706,0,0.0,4.0,1
B111,1435206,3691706,1,1.0,1.0,1
B111,1435206,3690306,1,1.0,1.0,1
B111,1435206,3694406,0,0.0,4.0,1
B121,1435206,5409406,1,1.0,1.0,1
B111,1435206,4014306,1,1.0,1.5,1
B111,1435206,3294006,1,1.0,1.5,1
B121,1435206,5414406,0,0.0,4.0,1
B121,1435206,5411206,1,1.0,1.5,1
B121,1435206,5410406,0,0.0,4.0,1
B121,1435206,3692506,1,1.0,2.0,1
B121,1435206,5385206,1,1.0,2.0,1
B121,1435206,5688206,1,1.0,2.0,1
B121,1435206,5403106,1,1.0,2.0,1
B121,1435206,5686506,1,1.0,3.0,1
B121,1435206,5411706,1,1.0,2.0,1
B121,1435206,5414306,1,1.0,1.0,1
B121,1435206,5402006,1,1.0,1.0,1
B121,1435206,5402806,0,0.0,4.0,1
B111,1435206,3688706,1,1.0,2.0,1
B111,1435206,4010506,1,1.0,1.5,1
B111,1435206,3688006,1,1.0,1.0,1
B111,1435206,3692906,1,1.0,1.5,1
B111,1435206,5406006,0,0.0,4.0,1
B111,1435206,5402606,0,0.0,4.0,1
B111,1435206,5404906,1,1.0,1.0,1
B111,1435206,5405506,1,1.0,1.0,1
B111,1435206,5411506,0,0.0,4.0,1
B111,1435206,4010306,0,0.0,4.0,1
B101,1431406,4012106,1,1.0,2.0,1
B101,1431406,3693606,1,1.0,2.0,1
B101,1431406,3696906,1,1.0,1.0,1
B101,1431406,3687606,1,1.0,1.0,1
B101,1431406,3692906,1,1.0,1.0,1
B101,1431406,3688906,1,1.0,1.5,1
B101,1431406,3685606,1,1.0,2.5,1
B101,1431406,3683806,1,1.0,2.0,1
B101,1431406,3695306,1,1.0,1.5,1
B101,1431406,3688306,1,1.0,1.0,1
B101,1431406,3693706,1,1.0,1.0,1
B101,1431406,3683106,1,1.0,2.0,1
B101,1431406,3692306,1,1.0,1.0,1
B101,1431406,3693406,0,0.0,4.0,1
B101,1431406,3695906,1,1.0,1.5,1
B101,1431406,3683406,0,0.0,4.0,1
B101,1431406,3691706,1,1.0,3.0,1
B101,1431406,3684306,0,0.0,4.0,1
B101,1431406,3684906,1,1.0,2.0,1
B101,1431406,3685406,1,1.0,3.0,1
B101,1431406,3687206,1,1.0,1.0,1
B101,1431406,3686106,1,1.0,1.5,1
B101,1431406,3695806,1,1.0,1.0,1
B101,1431406,3692406,1,1.0,1.5,1
B101,1431406,3690606,1,1.0,1.0,1
B101,1431406,3693906,1,1.0,1.5,1
B101,1431406,3695206,1,1.0,2.0,1
B101,1431406,3696206,0,0.0,4.0,1
B101,1431406,3693806,0,0.0,4.0,1
B101,1431406,3693106,1,1.0,1.0,1
B101,1431406,3684206,1,1.0,1.0,1
B101,1431406,3687706,1,1.0,1.0,1
B101,1431406,3696006,1,1.0,1.5,1
B101,1431406,3695406,1,1.0,1.5,1
B101,1431406,3690806,1,1.0,3.0,1
B101,1431406,3694006,1,1.0,1.0,1
B101,1431406,3685006,1,1.0,1.5,1
B101,1431406,3696806,1,1.0,1.0,1
B101,1431406,3690106,1,1.0,1.0,1
B101,1431406,3683206,1,1.0,2.0,1
B101,1431406,3687106,1,1.0,2.0,1
B101,1431406,3694706,1,1.0,2.0,1
B101,1431406,3686206,1,1.0,1.0,1
B101,1431406,3695706,0,0.0,4.0,1
B101,1431406,3696706,1,1.0,1.5,1
B101,1431406,3683606,1,1.0,1.0,1
B101,1431406,3694806,0,0.0,4.0,1
B101,1431406,3684406,1,1.0,3.0,1
B101,1431406,3685806,1,1.0,2.5,1
B101,1431406,3690906,1,1.0,1.5,1
B101,1431406,3690306,1,1.0,2.0,1
B101,1431406,3686606,1,1.0,1.5,1
B101,1431406,3685306,0,0.0,4.0,1
B101,1431406,3689306,1,1.0,1.0,1
B101,1431406,3688006,1,1.0,1.5,1
B101,1431406,3689106,1,1.0,1.5,1
B101,1431406,3691206,1,1.0,2.0,1
B101,1431406,3689606,1,1.0,2.0,1
B101,1431406,3692506,1,1.0,2.5,1
B101,1431406,3684706,1,1.0,1.0,1
B202,6290706,18529406,0,0.0,4.0,1
B202,6290706,16691706,1,,,1
B202,6290706,17894106,1,1.0,1.0,1
B202,6290706,17204706,1,1.0,1.5,1
B202,6290706,17899606,0,0.0,4.0,1
B202,6290706,17895906,1,1.0,2.0,1
B202,6290706,17894706,0,0.0,4.0,1
B202,6290706,18531406,0,0.0,4.0,1
B202,6290706,17887806,0,0.0,4.0,1
B202,6290706,17892106,0,0.0,4.0,1
B202,6290706,16688206,0,0.0,4.0,1
B192,1123106,16688906,0,0.0,4.0,1
B192,1123106,15625906,0,0.0,4.0,1
B202,1123106,18529606,0,0.0,4.0,1
B101,1431406,3691306,1,1.0,1.0,1
B101,1431406,3691806,1,1.0,2.0,1
B101,1431406,3690706,0,0.0,4.0,1
B101,1431406,3686306,1,1.0,1.0,1
B101,1431406,3696406,0,0.0,4.0,1
B101,1431406,3694306,1,1.0,1.0,1
B101,1431406,3692606,1,1.0,1.0,1
B101,1431406,3695106,0,0.0,4.0,1
