studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PA1_semestr,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-PAI_semestr,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-CAO_semestr,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-PS1_semestr,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-MLO_semestr,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,BI-ZMA_semestr,pocet_kreditu_semestr_1,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti
11700606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,23.0,0,1,2015,2012,3,1,1,0,0,0,0
11696206,0.0,2.5,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1,1,2015,2012,3,1,0,0,0,0,0
11689306,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,15.0,0,1,2015,2012,3,1,0,0,0,0,0
11737206,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.5,1.0,1.0,19.0,1,1,2015,2015,0,1,0,0,0,0,0
11674506,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,21.0,0,0,2015,2011,4,0,-1,0,0,0,0
11739206,1.0,2.0,1.0,1.0,2.5,1.0,1.0,1.5,1.0,1.0,4.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,25.0,0,1,2015,2012,3,1,1,0,0,0,0
11710006,0.0,4.0,1.0,1.0,2.5,1.0,1.0,1.5,1.0,1.0,4.0,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,19.0,0,0,2015,2011,4,0,-1,0,0,0,0
11698306,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,27.0,0,1,2015,2012,3,1,1,0,0,0,0
11712506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,1,2015,2012,3,1,0,0,0,0,0
11726106,1.0,2.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,4.0,1.0,1.0,24.0,0,0,2015,2012,3,0,1,0,0,0,0
13013106,0.0,4.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.5,1.0,1.0,19.0,0,0,2016,2015,1,0,1,0,0,0,0
14811406,1.0,1.5,1.0,1.0,1.5,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,4.0,1.0,1.0,24.0,0,1,2017,2013,4,1,0,0,0,0,0
11714506,0.0,4.0,1.0,1.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,2.0,1.0,1.0,21.0,0,1,2015,2013,2,1,0,0,0,0,0
11689506,0.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,1,2015,2013,2,0,0,0,0,0,0
11709806,1.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0,0,2015,2013,2,0,-1,0,0,0,0
14246906,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,38.0,0,1,2017,2013,4,0,1,0,0,0,0
11701706,1.0,2.5,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,37.0,0,1,2015,2013,2,0,1,0,0,0,0
11740406,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,19.0,0,1,2015,2013,2,1,1,0,0,0,0
12991006,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,2016,2012,4,0,-1,0,0,0,0
11727606,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,30.0,0,1,2015,2013,2,0,1,0,0,0,0
11697206,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.5,1.0,1.0,29.0,0,1,2015,2013,2,0,0,0,0,0,0
17923906,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,1,2020,2012,8,1,1,0,0,1,1
11713806,1.0,1.5,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,0,1,2015,2012,3,1,1,0,0,0,0
14277206,1.0,3.0,1.0,1.0,2.5,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,1,2017,2013,4,1,0,0,0,0,0
11681906,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.5,1.0,1.0,4.0,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,25.0,0,1,2015,2013,2,1,0,0,0,0,0
11681606,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.5,1.0,1.0,31.0,0,1,2015,2013,2,0,0,0,0,0,0
12956806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,1,2016,2013,3,1,0,0,0,0,0
11696006,1.0,2.5,1.0,1.0,3.0,1.0,1.0,1.5,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,20.0,0,1,2015,2013,2,1,0,0,0,0,0
12954406,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,33.0,0,1,2016,2012,4,1,0,0,0,0,0
16183206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,15.0,0,1,2018,2013,5,1,0,0,0,0,0
16752906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,15.0,0,1,2019,2013,6,1,0,0,0,0,0
11680506,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,1,2015,2013,2,1,0,0,0,0,0
12974306,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0,1,2016,2013,3,1,1,0,0,0,0
