studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP,prumer
16768606,3.0,2.0,2.5,3.0,2.0,3.0,2.5,2.0,3.0,4.0,,,,,4.0,,,,,4.0,2.9166666666666665
17334506,4.0,2.0,1.0,4.0,2.5,4.0,,2.5,1.5,4.0,4.0,4.0,4.0,,4.0,4.0,,,,,3.25
17779106,,,,,,,4.0,,,,,,,4.0,4.0,1.5,2.0,4.0,,1.5,3.0
17920506,4.0,1.0,1.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.35
17936306,,2.0,1.5,2.5,4.0,4.0,4.0,1.5,2.5,4.0,,,,,,,,,,,2.888888888888889
15550306,2.5,3.0,1.0,2.0,2.5,2.5,2.0,1.5,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,,1.5,,2.90625
15575206,3.0,2.0,1.0,1.5,2.0,2.5,3.0,1.5,2.5,2.0,2.5,3.0,2.5,2.5,4.0,2.0,4.0,,1.5,1.5,2.3421052631578947
15615706,3.0,3.0,1.0,2.5,2.0,2.0,1.5,2.0,2.5,3.0,2.5,2.0,2.0,3.0,2.0,1.0,1.5,2.0,1.5,1.5,2.075
15589906,3.0,2.0,1.0,2.0,1.5,1.5,2.0,1.0,1.0,2.0,2.5,2.0,2.0,1.0,2.0,1.0,1.5,1.0,1.0,1.0,1.6
15617006,2.0,2.5,1.0,3.0,2.5,2.5,2.0,1.0,1.0,3.0,2.5,1.5,2.5,2.5,2.0,1.5,2.5,1.5,3.0,2.0,2.1
15596906,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.5,1.0,1.0,1.5,1.0,1.5,1.0,2.0,1.275
15563906,3.0,3.0,1.0,2.0,2.5,2.0,1.5,1.5,3.0,3.0,3.0,2.0,2.5,3.0,3.0,2.0,1.5,1.0,1.5,1.5,2.175
15587806,2.5,2.5,1.5,3.0,2.0,1.5,2.5,1.5,1.0,1.5,1.0,1.0,1.5,1.0,2.5,1.5,1.0,1.0,1.5,1.0,1.625
15620506,2.5,2.5,1.0,2.0,2.0,4.0,1.5,2.0,2.5,2.5,3.0,2.0,2.5,2.0,3.0,2.5,3.0,,,1.5,2.3333333333333335
16722806,4.0,1.5,,4.0,2.5,2.5,,4.0,2.5,,,4.0,4.0,,,,,,,4.0,3.3
19799606,,,,,,,,,,,,,4.0,,,,,,,,4.0
19884406,,,,,,4.0,,,,,,4.0,,,,,,,,,4.0
17947006,4.0,2.0,1.0,2.5,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,,,3.2777777777777777
12998006,3.0,2.5,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.5,2.5,2.0,3.0,3.0,3.0,3.0,2.0,2.5,3.0,1.5,2.375
18601706,2.5,,,3.0,3.0,,,,,,,3.0,3.0,,,,2.5,2.5,,2.5,2.75
17943606,1.0,2.0,1.0,1.5,4.0,2.5,2.0,2.5,2.5,4.0,4.0,4.0,4.0,,,,,,,,2.6923076923076925
16735006,2.5,2.5,,1.0,,4.0,4.0,,,4.0,,4.0,4.0,,4.0,,,,,,3.3333333333333335
17916806,4.0,1.0,1.0,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.25
16728206,3.0,2.0,1.0,2.0,2.0,2.5,4.0,1.5,2.5,4.0,4.0,4.0,4.0,,4.0,4.0,,,,,2.966666666666667
17919806,,1.5,1.0,2.5,4.0,,4.0,4.0,4.0,4.0,,,,,,,,,,,3.125
17325406,3.0,2.5,,,,2.5,2.5,,,4.0,4.0,2.0,4.0,,,4.0,,,,,3.1666666666666665
18587606,,1.5,,3.0,2.5,4.0,4.0,4.0,,4.0,,,,,,,,,,2.0,3.125
18587706,,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.3333333333333335
18603306,4.0,,,2.5,,2.0,4.0,,,,4.0,4.0,,4.0,,,4.0,,,1.0,3.2777777777777777
18581506,2.0,1.5,1.0,2.5,4.0,2.5,1.5,1.5,2.0,4.0,4.0,4.0,4.0,,,,,,,,2.6538461538461537
15560906,2.0,3.0,1.5,2.5,2.5,2.5,1.0,2.0,2.5,3.0,2.5,4.0,2.5,4.0,3.0,2.5,,,4.0,,2.6470588235294117
16751806,4.0,3.0,1.0,2.5,1.5,1.5,4.0,1.5,2.0,2.5,4.0,2.5,2.5,,3.0,2.0,4.0,,4.0,4.0,2.75
16720206,2.5,2.0,1.5,1.5,1.5,2.5,4.0,2.5,1.5,4.0,,,4.0,,2.5,2.0,,,,1.5,2.392857142857143
17327106,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,1.1363636363636365
14321806,2.0,2.0,1.0,2.0,1.5,1.0,1.5,2.0,1.0,2.0,1.5,1.5,2.5,1.0,2.0,1.5,1.0,1.0,1.0,1.0,1.5
16728806,,,,,,,1.0,,,2.5,3.0,,2.0,2.5,3.0,3.0,2.5,1.0,,1.0,2.15
14798306,3.0,2.5,1.0,3.0,1.5,1.0,1.0,1.5,1.0,2.0,1.0,1.5,2.0,2.5,2.0,2.0,2.5,2.5,3.0,1.5,1.9
18599406,4.0,2.5,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.65
16747206,,3.0,,,1.5,,,,,,3.0,2.0,2.5,2.5,,1.5,2.0,1.5,3.0,,2.25
16722406,3.0,2.5,1.5,3.0,2.0,2.5,4.0,1.5,1.5,4.0,,4.0,,,,4.0,,,,1.0,2.6538461538461537
14277706,2.0,2.5,1.0,1.5,2.5,1.5,2.5,1.5,1.0,2.5,2.5,1.5,4.0,3.0,2.0,2.0,2.5,4.0,2.0,1.5,2.175
17938806,2.5,2.5,1.0,2.0,4.0,2.0,3.0,2.0,1.5,3.0,4.0,4.0,4.0,,,,,,,4.0,2.8214285714285716
17905206,4.0,1.5,1.0,2.0,2.5,4.0,3.0,1.5,2.0,4.0,,4.0,4.0,,,,,,,,2.7916666666666665
18593406,4.0,1.5,1.0,2.5,2.5,4.0,4.0,2.5,2.5,4.0,4.0,4.0,4.0,,,,,,,,3.1153846153846154
15564006,2.5,2.5,1.5,2.0,2.5,2.5,1.5,1.5,1.0,2.5,3.0,1.5,2.5,2.5,2.5,1.5,1.5,1.5,1.0,1.5,1.95
17908106,,2.0,,3.0,,,1.5,,3.0,,,,,3.0,,,3.0,,2.5,,2.5714285714285716
18599906,4.0,3.0,1.5,4.0,2.5,4.0,,4.0,4.0,4.0,,,,,,,,,,,3.4444444444444446
17916606,4.0,1.0,1.0,2.0,1.5,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,2.9615384615384617
17936806,4.0,1.5,1.0,2.0,1.0,1.5,,2.0,1.5,3.0,4.0,4.0,4.0,,,,,,,,2.4583333333333335
16750806,4.0,2.5,1.0,3.0,2.0,2.5,4.0,3.0,4.0,4.0,,,4.0,4.0,4.0,4.0,,,,,3.2857142857142856
16716506,2.0,3.0,1.0,2.0,2.0,1.5,1.5,2.0,3.0,2.5,4.0,4.0,2.5,,2.5,2.5,,,4.0,,2.5
17901606,,2.0,,2.5,2.5,,,,,,,,,,2.5,,,1.5,2.0,,2.1666666666666665
17333906,2.0,,,1.5,,,2.0,,,2.5,2.5,,,2.5,3.0,2.5,1.0,1.5,,,2.1
17929406,,1.5,1.0,2.5,4.0,4.0,4.0,2.5,2.5,4.0,,,,,,,,,,,2.888888888888889
16749306,2.5,3.0,,2.0,,,1.5,,,2.5,2.5,2.5,2.0,2.5,2.5,2.0,3.0,1.5,1.5,,2.25
17335306,2.0,1.5,1.5,1.0,1.0,2.5,2.5,3.0,,4.0,4.0,4.0,4.0,2.5,2.5,,,,,,2.5714285714285716
17929006,2.0,1.5,3.0,2.0,2.5,2.0,2.5,2.0,2.5,3.0,4.0,4.0,4.0,,,,,,,,2.6923076923076925
16729606,3.0,2.5,1.5,3.0,1.5,2.5,4.0,2.5,3.0,4.0,,,4.0,4.0,4.0,4.0,,,,4.0,3.1666666666666665
14256806,3.0,2.5,1.0,2.5,2.0,2.5,1.5,3.0,3.0,2.5,2.5,1.5,2.5,2.5,2.5,2.5,1.5,1.0,2.0,2.0,2.2
17929906,4.0,1.0,1.0,2.0,2.5,4.0,,4.0,4.0,4.0,,,,,,,,,,4.0,3.05
18604006,4.0,1.0,1.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.35
15569206,2.5,2.0,1.0,2.0,1.5,1.5,1.0,1.0,1.5,2.0,3.0,2.0,1.5,2.5,,2.0,1.0,,4.0,1.0,1.8333333333333333
17911406,4.0,1.5,1.5,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.35
16736106,3.0,,,3.0,,2.5,4.0,,,2.5,4.0,2.5,4.0,,4.0,,,,,,3.2777777777777777
18588006,3.0,2.0,1.0,2.0,2.5,4.0,4.0,2.5,2.0,4.0,4.0,4.0,4.0,,,,,,,,3.0
16758406,3.0,2.0,1.0,1.0,2.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,,,,,,,,2.9615384615384617
17918706,,1.5,,,,,,4.0,,,4.0,,,,4.0,4.0,,,,,3.5
14274006,3.0,2.5,1.0,2.5,2.5,2.0,2.5,2.0,2.5,3.0,3.0,2.5,2.0,2.5,3.0,1.5,2.5,1.0,1.5,1.0,2.2
15556306,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.5,2.5,1.5,2.0,,2.0,2.0,1.5,4.0,2.0,1.5,2.1315789473684212
14256106,3.0,2.0,1.0,2.5,2.0,2.5,1.5,2.0,2.5,2.5,2.5,2.5,3.0,2.5,3.0,3.0,2.0,1.0,2.0,2.0,2.25
14307306,3.0,2.5,1.0,2.0,2.0,1.5,3.0,2.0,1.0,2.0,2.5,2.0,2.5,2.0,2.0,2.5,2.5,2.5,2.5,1.5,2.125
17923006,2.5,1.0,1.0,2.0,2.0,4.0,2.5,1.5,1.0,4.0,4.0,4.0,,,,,,,,,2.4583333333333335
17938906,4.0,2.0,1.0,3.0,1.5,4.0,,4.0,4.0,4.0,,,,,4.0,,,,,,3.15
17935706,2.5,1.5,1.0,3.0,2.0,2.0,2.0,1.5,1.5,3.0,4.0,4.0,4.0,,,,,,,4.0,2.5714285714285716
18589306,,1.0,1.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.2777777777777777
17327206,2.5,2.5,1.0,1.5,2.5,1.5,1.5,2.0,1.0,2.5,4.0,,4.0,3.0,4.0,4.0,,,,,2.5
16772706,2.5,2.0,1.0,1.5,2.0,2.5,2.0,2.0,3.0,4.0,4.0,4.0,4.0,,2.5,2.5,,,2.5,1.0,2.5294117647058822
17950006,4.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.3
15592406,1.5,2.0,1.0,1.5,1.5,1.5,2.0,1.5,2.0,2.0,2.0,1.5,2.0,2.5,2.0,1.0,1.5,1.0,2.0,1.0,1.65
18596506,3.0,2.5,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.25
15578706,1.5,2.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0,2.0,1.5,2.0,2.0,1.0,2.5,1.5,1.0,1.5,1.5,1.5,1.475
17935606,4.0,2.0,1.0,2.0,2.5,2.0,4.0,1.5,1.5,3.0,4.0,4.0,4.0,,,,4.0,,,,2.8214285714285716
16730806,2.5,1.5,1.0,2.0,2.5,2.0,1.5,1.5,2.5,,4.0,1.5,1.5,,3.0,2.0,4.0,,2.5,1.5,2.176470588235294
18597806,4.0,1.0,1.5,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.3
