studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
15550306,2.5,3.0,1.0,2.0,2.5,2.5,2.0,1.5,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,,1.5,
15575206,3.0,2.0,1.0,1.5,2.0,2.5,3.0,1.5,2.5,2.0,2.5,3.0,2.5,2.5,4.0,2.0,4.0,,1.5,1.5
15615706,3.0,3.0,1.0,2.5,2.0,2.0,1.5,2.0,2.5,3.0,2.5,2.0,2.0,3.0,2.0,1.0,1.5,2.0,1.5,1.5
15589906,3.0,2.0,1.0,2.0,1.5,1.5,2.0,1.0,1.0,2.0,2.5,2.0,2.0,1.0,2.0,1.0,1.5,1.0,1.0,1.0
15617006,2.0,2.5,1.0,3.0,2.5,2.5,2.0,1.0,1.0,3.0,2.5,1.5,2.5,2.5,2.0,1.5,2.5,1.5,3.0,2.0
15596906,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.5,1.0,1.0,1.5,1.0,1.5,1.0,2.0
15563906,3.0,3.0,1.0,2.0,2.5,2.0,1.5,1.5,3.0,3.0,3.0,2.0,2.5,3.0,3.0,2.0,1.5,1.0,1.5,1.5
15587806,2.5,2.5,1.5,3.0,2.0,1.5,2.5,1.5,1.0,1.5,1.0,1.0,1.5,1.0,2.5,1.5,1.0,1.0,1.5,1.0
15620506,2.5,2.5,1.0,2.0,2.0,4.0,1.5,2.0,2.5,2.5,3.0,2.0,2.5,2.0,3.0,2.5,3.0,,,1.5
16722806,4.0,1.5,,4.0,2.5,2.5,,4.0,2.5,,,4.0,4.0,,,,,,,4.0
19799606,,,,,,,,,,,,,4.0,,,,,,,
19884406,,,,,,4.0,,,,,,4.0,,,,,,,,
17947006,4.0,2.0,1.0,2.5,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,,
12998006,3.0,2.5,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.5,2.5,2.0,3.0,3.0,3.0,3.0,2.0,2.5,3.0,1.5
18601706,2.5,,,3.0,3.0,,,,,,,3.0,3.0,,,,2.5,2.5,,2.5
