studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
13512006,0,1,2016,2011,5,0,1,0,0,0,0,1,1.0,1.5,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,,1.5,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.5
12964406,0,1,2016,2011,5,0,0,0,0,0,0,0,2.0,2.0,1.0,1.5,2.5,3.0,4.0,2.5,1.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,,,,
12994106,1,1,2016,2011,5,0,0,0,0,0,0,1,2.0,2.5,1.5,2.5,2.5,2.5,3.0,2.5,2.5,2.5,4.0,2.0,2.5,2.5,2.5,2.5,2.0,1.0,2.0,1.5
11742506,0,1,2015,2011,4,1,0,0,0,0,0,1,2.0,2.0,1.5,2.0,2.5,2.0,2.5,2.5,2.0,2.5,,3.0,2.5,2.0,2.5,2.5,2.0,1.0,1.5,1.0
11712706,0,1,2015,2011,4,0,0,0,0,0,0,0,1.0,1.0,1.0,2.5,1.5,2.0,4.0,2.0,1.0,4.0,,2.0,2.5,4.0,4.0,4.0,2.5,2.0,2.0,1.0
13518806,0,1,2016,2011,5,0,0,0,0,0,0,0,1.0,1.5,1.5,2.5,2.5,4.0,1.5,,1.5,,,4.0,2.5,2.5,2.5,,,1.0,1.0,
11735606,0,1,2015,2011,4,0,0,0,0,0,0,0,2.0,3.0,1.0,4.0,1.5,4.0,4.0,2.5,2.5,4.0,,4.0,,4.0,4.0,,,,4.0,
13518606,0,1,2016,2011,5,0,0,0,0,0,0,1,2.0,2.5,1.0,2.0,2.0,2.5,2.0,1.5,1.5,2.0,,2.5,2.5,2.5,2.0,2.5,2.5,1.0,2.0,1.5
15586306,0,1,2018,2011,7,1,0,0,0,0,0,1,2.5,1.5,1.5,2.5,2.5,3.0,2.5,1.5,1.0,2.5,2.5,2.5,2.5,2.5,2.0,2.5,2.5,2.5,1.5,2.5
13519806,0,1,2016,2011,5,1,0,0,0,0,0,0,2.5,1.5,1.5,2.5,2.5,3.0,2.5,1.5,1.0,4.0,,2.5,2.5,2.5,2.0,2.5,2.5,1.5,1.5,3.0
