role,kod_predmetu,nazev_predmetu,rozsah_vyuky,zakonceni,semestr,pocet_kreditu,vyucujici,katedra,doporuceny_semestr
PP,MI-PAA,Problémy a algoritmy,2P+1R+1C,"Z,ZK",Z,5,,18103,1
PP,MI-MPI,Matematika pro informatiku,3P+2C,"Z,ZK",Z,7,,18105,1
PP,MI-PDP.16,Paralelní a distribuované programování,2P+2C,"Z,ZK",L,5,,18104,2
PP,MI-SPI.16,Statistika pro informatiku,4P+2C,"Z,ZK",L,7,,18105,2
PO,MI-FLP,Funkcionální a logické programování,2P+1C,"Z,ZK",L,4,,18101,2
PZ,MI-AVY,Automaty ve vyhledávání v textech,2P+1C,"Z,ZK",L,4,"Žďárek J., Guth O., Pecka T., Plachý Š., Polách R., Trávníček J.",18101,2
PZ,MI-PAL,Pokročilá algoritmizace,2P+1C,"Z,ZK",L,4,,18101,2
PP,MI-MPR,Magisterský projekt,,Z,"Z,L",7,,18000,3
PS,MI-NON.16,Nelineární optimalizace a numerické metody,2P+1C,"Z,ZK",Z,5,,18101,3
PO,MI-MVI.16,Metody výpočetní inteligence,2P+1C,"Z,ZK",Z,5,,18105,3
PZ,MI-CPX,Teorie složitosti,3P+1C,"Z,ZK",Z,5,,18101,3
PP,MI-DIP,Magisterská práce,,Z,"L,Z",23,,18000,4
